CNPJ_Fundo;Data_Referencia;Versao;Nome_Representante;Nome_Fundo;Data_Eleicao;Termino_Mandato
05.562.312/0001-02;2018-12-01;1;Gabriel José Lindenbaum;BB FII PROGRESSIVO;2016-06-14;2018-06-14
05.562.312/0001-02;2018-12-01;1;Luiz Gustavo Aurnheimer Vieira;BB FII PROGRESSIVO;2016-06-14;2018-06-14
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
07.583.627/0001-61;2018-12-01;1;Não aplicável;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2018-12-01;4;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2018-12-01;4;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2018-12-01;4;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2018-12-01;4;N/A;N/A;1899-12-31;1899-12-31
28.516.650/0001-03;2018-12-01;4;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2018-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2018-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2018-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2018-12-01;1;N/A;N/A;1899-12-31;1899-12-31
28.693.595/0001-27;2018-12-01;1;N/A;N/A;1899-12-31;1899-12-31
