CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
44.514.162/0001-13;2024-06-30;1;;;;;;;;;0;0;5318935.7;5198973.97;;;;;;;;;;;5318935.7;5198973.97;;;-7671796.21;;;;;;-7671796.21;0;-2352860.51;5198973.97;215262.21;215262.21;;;;;;;215262.21;215262.21;;;-291084.51;-365831.63;;;-644980.97;-644980.97;;;;;-5821.37;-7316.23;-12699.54;-35700;;;-7814.21;-24099.1;;;;;;;;;;;-81.86;-185.14;-346.1;-346.1;-962828.56;-1078459.17;-3100426.86;4335777.01;8927007.85;8480657.4575;;;8483999.9975;0;8483999.9975;0.950374
44.527.494/0001-32;2024-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;1325629.22;2151756.75;595098.14;0;79510.33;113217.55;0;0;2000237.69;2264974.3;2000237.69;2264974.3;45101.52;45101.52;;;;;;;45101.52;45101.52;;;-49357.59;-30000;0;0;0;0;0;0;0;0;-1350;0;-7104.06;;0;0;-13221.48;-12325.62;0;;0;0;0;0;0;0;0;0;-221.68;0;-65492.81;-10760.86;-136747.62;-53086.48;1908591.59;2256989.34;2256989.34;2144139.873;;;1964685.003;-1309790;654895.003;0.870489
44.527.494/0001-32;2024-06-30;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;1516470.81;2026839.23;-402526.42;;11.71;111885.59;;;1113956.1;2138724.82;1113956.1;2138724.82;24682.91;24682.91;;;;;;;24682.91;24682.91;;;-165225.76;-142386.91;;;;;;;;;-9000;-7350;-7338.44;-9666.67;;;-104197.69;-13317.62;;;;;;;;;;;-74.22;;-139886.45;-60449.9;-425722.56;-233171.1;712916.45;1930236.63;4187225.97;3977864.6715;;;4027604.2515;-3307219.75;720384.5015;0.961879
44.584.965/0001-44;2024-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;;;;;;;;;0;0;0;0;;;;;;;;;0;0;;;-46508.09;-60946.99;;;;;;;;;;;-6325;-6325;;;-14.4;;;;;;;;;;;;;;-27567.81;-5597;-80415.3;-72868.99;-80415.3;-72868.99;0;0;;;0;0;0;0
44.584.965/0001-44;2024-06-30;1;;;;;;;;;0;0;2450000;;-1558176.37;;;;;;;;;;891823.63;0;;;;;;;;;0;0;891823.63;0;;;204.33;204.33;;;;;204.33;204.33;;;-32069.03;-32069.01;;;;;;;;;;;-6325;-6325;;;-655.52;-3162.29;;;;;;;;;;;;;-4551.82;-4548.9;-43601.37;-46105.2;848426.59;-45900.87;-118769.85;0;;;0;0;0;0
44.585.121/0001-18;2024-03-31;1;;;;;;;;;0;0;59805.3;59805.3;;;;;;;;;;;59805.3;59805.3;;;;;;;;;0;0;59805.3;59805.3;0;0;219.98;219.98;;;;;219.98;219.98;;;-22383.88;-20163.24;;;;;;;;;-1763.74;-1713.34;-4950;-4950;;;;;;;-29219.47;-29219.47;;;;;;;;;-8839;-8839;-67156.09;-64885.05;-7130.81;-4859.77;0;0;;;0;0;0;0
44.585.121/0001-18;2024-06-30;1;;;;;;;;;0;0;59805.3;59805.3;;;;;;;;;;;59805.3;59805.3;;;;;;;;;0;0;59805.3;59805.3;0;0;219.98;219.98;;;;;219.98;219.98;;;-22383.88;-20163.24;;;;;;;;;-1763.74;-1713.34;-4950;-4950;;;;;;;-29219.47;-29219.47;;;;;;;;;-8839;-8839;-67156.09;-64885.05;-7130.81;-4859.77;0;0;;;0;0;0;0
44.614.833/0001-18;2024-03-28;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;10730181.19;10455878.38;782203.66;;851699.22;994557.74;;;12364084.07;11450436.12;12364084.07;11450436.12;611649.63;611649.63;;;;;;;611649.63;611649.63;;;-849035.53;-748443.53;-301635.92;-161390.36;-50000;-150000;;;;;-21354.05;-20335.51;-23587.74;-37434.39;;;-147341.43;-137621.08;;;;;;;;;;;;;1863821.84;1863821.84;470867.17;608596.97;13446600.87;12670682.72;13384037.61;12714835.7295;;;12266864.9695;-8433469.67;3833395.2995;0.916529
44.614.833/0001-18;2024-06-30;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;8952214.36;8986387.35;808086.04;;2333930.36;2333930.36;;;12094230.76;11320317.71;12094230.76;11320317.71;794099.74;794099.74;;;;;;;794099.74;794099.74;;;-929174.47;-933613.02;-183497.38;-107593.56;;;;;;;-15714.96;-17078.59;-15220.17;-12478.13;;;-189183.85;-199299.48;;;;;;;;;;;;;125454.83;126162.15;-1207336;-1143900.63;11680994.5;10970516.82;23641199.88;22459139.886;;125851;23767050.876;-23767050.88;-0.004;1.005323
44.625.562/0001-04;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2629953.08;45704185.21;-3215084.61;0;0;70707.9;-9977.54;0;-595109.07;45774893.11;-595109.07;45774893.11;0;655811.41;-280425.01;0;0;0;0;0;-280425.01;655811.41;0;0;-3590420.11;-3591174.16;0;-9028094.27;-35370;-35370;0;0;0;0;0;0;0;0;0;0;-31468.11;-50820.76;0;0;0;0;0;0;0;0;0;0;0;0;138047.81;-184.8;-3519210.41;-12705643.99;-4394744.49;33725060.53;33725060.53;32038807.5035;;;33965446.2035;-23290591.68;10674854.5235;1.007128
44.625.562/0001-04;2024-06-28;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3227978.47;0;0;27040060.98;-3227978.47;27040060.98;4465627.81;13605739.2;28157880.81;0;0;18789.54;-38542.8;0;32584965.82;13624528.74;29356987.35;40664589.72;0;6184761.73;6233831.69;0;0;0;0;0;6233831.69;6184761.73;0;0;-5211395.79;-4714547.67;0;0;0;0;0;0;0;0;0;0;0;0;-282464.36;0;0;-215518.35;0;0;0;0;0;0;0;0;0;0;0;0;-25.5;-816.06;-5493885.65;-4930882.08;30096933.39;41918469.37;75628973.59;71847524.9105;;;76891591.8505;-62582876.75;14308715.1005;1.016695
44.625.612/0001-45;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2390456.75;2621906.74;1809743.03;0;0;2729614.66;-76848.48;0;4123351.3;5351521.4;4123351.3;5351521.4;0;119240.75;-323580.87;0;0;0;0;0;-323580.87;119240.75;0;0;-233121.24;-231873.73;-36035.2;-292071.58;0;0;0;0;0;0;0;0;-19250.3;-36151.6;0;0;-8611.36;-426834.68;0;0;0;0;0;0;0;0;0;0;0;0;147602.85;-195;-149415.25;-987126.59;3650355.18;4483635.56;4483635.56;4259453.782;;;3043566.002;-1986772.25;1056793.752;0.678817
44.625.612/0001-45;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3434313.56;3403936.51;-4782406.69;0;205148.79;205148.79;-64621.72;-64621.72;-1207566.06;3544463.58;-1207566.06;3544463.58;339404.26;339404.26;0;0;0;0;-55323.9;-55323.9;284080.36;284080.36;0;0;-294561.17;-294561.17;-108840.07;-144875.27;0;0;0;0;0;0;-704.51;-704.51;-14401.32;0;0;0;-1581.12;-1581.12;0;0;0;0;0;0;0;0;0;0;0;0;-11313.89;-11313.89;-431402.08;-453035.96;-1354887.78;3375507.98;7859143.54;7466186.363;;0;7479174.133;-5405967.06;2073207.073;0.951653
44.625.657/0001-10;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4974664.05;1391190.49;0;0;0;0;0;1391190.49;4974664.05;1391190.49;4974664.05;0;157989.55;151214.82;0;0;0;0;0;151214.82;157989.55;0;0;-434798.32;-439470.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10344.25;-9935.16;0;0;0;0;0;0;0;0;0;0;0;0;-184.8;-184.8;-445327.37;-449590.28;1097077.94;4683063.32;4683063.32;4448910.154;;;4327718.054;-3019338.18;1308379.874;0.924121
44.625.657/0001-10;2024-06-28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4257167.83;1288125.74;0;0;0;0;0;1288125.74;4257167.83;1288125.74;4257167.83;0;127083.56;133957.12;0;0;0;0;0;133957.12;127083.56;0;0;-463067.33;-459731.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-14603.93;-32538.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-477671.26;-492269.82;944411.6;3891981.57;8575044.89;8146292.6455;;;8454148.5755;-7045123.81;1409024.7655;0.985901
