CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;9674003.75;12501593.74;0;0;0;0;0;0;0;0;-4221255.4;-4221255.4;5452748.35;8280338.34;0;0;0;0;0;0;0;0;0;0;5452748.35;8280338.34;178132.56;178132.56;0;0;0;0;0;0;178132.56;178132.56;;;-316988.21;-316163.56;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;-35171.6;-35171.6;0;0;-53794.07;-53794.07;0;0;0;-5500;0;0;0;0;-11653.04;-89895.97;-417606.85;-500525.2;5213274.06;7957945.7;7957945.7;7560048.415;;0;7952423.155;-5993546.18;1958876.975;0.999306
00.332.266/0001-31;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;11895125.65;11097974.1;0;0;0;0;0;0;0;0;-5365109.3;-5365109.3;6530016.35;5732864.8;0;0;0;0;0;0;0;0;0;0;6530016.35;5732864.8;158101.02;158101.02;0;0;0;0;0;0;158101.02;158101.02;;;-317812.88;-317812.88;0;0;0;0;0;0;0;0;0;0;-13551.02;-13551.02;0;0;-55347.71;-55347.71;0;0;-55918.8;-55918.8;0;0;0;0;0;0;-126.81;-126.81;-16581.87;-16581.87;-459339.09;-459339.09;6228778.28;5431626.73;13389572.43;12720093.8085;;;13323222.6485;-11167107.92;2156114.7285;0.995045
00.613.094/0001-74;2024-03-31;1;;;;;;;;;0;0;0;;-130809.97;;0;;-626848.63;;0;;-7498.12;;-765156.72;0;0;;0;;0;;0;;0;0;-765156.72;0;0;;0;;0;;0;;0;0;0;0;0;;0;;0;;0;;0;;-36000;;0;;0;;-3347.5;;0;;-72387.14;;0;;0;;0;;0;;19336.05;0;-92398.59;0;-857555.31;0;0;0;;0;0;0;0;0
00.613.094/0001-74;2024-06-30;1;;;;;;;;;0;0;0;;-258607.36;;0;;-1550772.34;;0;;-7498.12;;-1816877.82;0;0;;0;;0;;0;;0;0;-1816877.82;0;0;;0;;0;;0;;0;0;0;0;0;;0;;-23000;;0;;0;;-63000;;-57879;;0;;-16333.17;;0;;-103299.83;;0;;0;;0;;0;;-14936.69;0;-278448.69;0;-2095326.51;0;0;0;;0;0;0;0;0
00.762.723/0001-28;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;41614.18;41614.21;0;0;0;0;0;0;0;0;-1150660.33;-668518.75;-1109046.15;-626904.54;0;0;0;0;0;0;0;0;0;0;-1109046.15;-626904.54;6615.21;6615.21;0;0;0;0;0;0;6615.21;6615.21;;;-145178.07;-144475.32;0;0;0;0;0;0;0;0;0;0;0;-22278.39;0;0;-2767.98;-2767.98;0;0;-6881.16;-6881.16;0;0;0;-2440;0;0;0;0;-9670.94;-10298.94;-164498.15;-189141.79;-1266929.09;-809431.12;-809431.12;0;;0;0;0;0;0
00.762.723/0001-28;2024-06-30;1;;;;;;;;;0;0;38493.76;59362.36;0;0;0;0;0;0;0;0;-1766096.42;-1820004.17;-1727602.66;-1760641.81;;;;;;;;;0;0;-1727602.66;-1760641.81;77013.05;77013.05;;;;;;;77013.05;77013.05;;;-145880.82;-145880.82;;;;;;;;;0;0;0;-7426.11;;;-10119.3;-10119.3;;;-8878.87;-8878.87;;;0;0;;;-3994.96;-3994.96;-2399.19;-2399.19;-171273.14;-178699.25;-1821862.75;-1862328.01;-2671759.13;0;;;0;0;0;0
00.868.235/0001-08;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;2350694.65;2325904.6;-8790;-8790;0;0;0;0;0;0;-245463.2;-245598;2096441.45;2071516.6;0;0;0;0;0;0;0;0;0;0;2096441.45;2071516.6;57271.08;57271.08;0;0;0;0;0;0;57271.08;57271.08;;;-174902.22;-174902.22;0;0;0;0;0;0;0;0;0;0;0.63;0;0;0;-2451.26;-2451.26;0;0;-6142.48;-6142.48;0;0;0;-5200;0;0;0;0;-42968.97;-88350.97;-226464.3;-277046.93;1927248.23;1851740.75;1851740.75;1759153.7125;;0;1739261.3225;-1197432.3;541829.0225;0.939257
00.868.235/0001-08;2024-06-30;1;;;;;;;;;0;0;2414475.48;2229106.7;0;0;0;0;0;0;0;0;-417625.3;-419227.44;1996850.18;1809879.26;;;;;;;;;0;0;1996850.18;1809879.26;61654.89;61654.89;;;;;;;61654.89;61654.89;;;-174902.22;-168052.59;;;;;;;;;0;0;-5481.05;-5481.05;;;-11691.27;-11691.27;;;-5379.31;-5379.31;;;0;0;;;-58.35;-58.35;-39745.42;-39745.42;-237257.62;-230407.99;1821247.45;1641126.16;3492866.91;3318223.5645;;;3321486.4045;-2931990.24;389496.1645;0.950934
01.201.140/0001-90;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;9585687.35;10779169.46;-931286.99;-931286.99;0;0;0;0;0;0;-566375.35;-566375.35;8088025.01;9281507.12;0;0;0;0;0;0;0;0;0;0;8088025.01;9281507.12;193592.4;193592.4;0;0;0;0;0;0;193592.4;193592.4;;;-290701.2;-290701.2;0;0;0;0;0;0;0;0;0;0;0;-81108;0;0;-20995.58;-20995.58;0;0;-11534.03;-11534.03;0;0;-5500;-5500;0;0;0;0;-15490.47;-16407.47;-344221.28;-426246.28;7937396.13;9048853.24;9048853.24;8596410.578;;0;8570529.238;-6218622.6;2351906.638;0.94714
01.201.140/0001-90;2024-06-30;2;;;;;;;;;0;0;4291520.52;4265109.33;-6500;-6500;0;0;0;0;0;0;-926462.81;-926462.81;3358557.71;3332146.52;;;;;;;;;0;0;3358557.71;3332146.52;93724.94;93724.94;;;;;;;93724.94;93724.94;;;-184957.41;-184957.41;;;;;;;;;0;0;-6937.61;-6937.61;;;-42153.77;-42153.77;;;-9127.66;-9127.66;;;0;0;;;-103.98;-103.98;-16613.19;-16613.19;-259893.62;-259893.62;3192389.03;3165977.84;14839516.22;14097540.409;;;14645245.019;-14645245.02;-0.001;0.986909
01.235.622/0001-61;2024-03-28;1;;;;;;;;;0;0;12775021.04;12464390.63;-6078774.54;-6078774.54;50556395.59;31433824.17;;;;;744174.06;808237.13;57996816.15;38627677.39;3971951.08;3971951.08;4402783.72;;;;748238.26;692238.34;9122973.06;4664189.42;67119789.21;43291866.81;2403568.12;2403568.12;;;;;;;2403568.12;2403568.12;;;-7081132.1;-7075975.63;;;-1579809.25;-1456053.81;;;;;;;0;-132000;;;-683583.12;-683583.12;;;;;;;;;;;-167631.77;-167631.77;-11189038.53;-11805752.11;-20701194.77;-21320996.44;48822162.56;24374438.49;24374438.49;23155716.574;;;0;0;0;0
01.235.622/0001-61;2024-06-30;1;;;;;;;;;0;0;12237362.93;12444094.45;-8354157.91;-8354157.91;43356582.74;27386237.66;;;;;2887752.91;2342378.67;50127540.67;33818552.87;3893092.26;3893092.26;-2527513.7;;;;8905436.42;9895082.48;10271014.98;13788174.74;60398555.65;47606727.61;1635791.32;1635791.32;;;;;;;1635791.32;1635791.32;;;-7769217.31;-7767788.5;;;-1329395.53;-1295104.04;;;;;;;;;;;-548531.9;-548531.9;;;;;;;;;;;-80558.75;-80558.75;-17587464.52;-21300304.4;-27315168.01;-30992287.59;34719178.96;18250231.34;38731107.79;36794552.4005;;0;0.0005;0;0.0005;0
01.356.517/0001-80;2024-03-31;1;;;;;;;;;0;0;18821054.36;18159219.45;-392849.94;-392849.94;0;0;0;0;;;25336.31;25336.31;18453540.73;17791705.82;;;;;;;;;0;0;18453540.73;17791705.82;;;;;2412538.82;2412538.82;;;2412538.82;2412538.82;;;-204498.89;-204498.89;;;;;-787304.69;-787304.69;;;;;-5556.8;-5556.8;;;-3054038.09;-3054038.09;;;;;;;;;;;;;-1151582.42;-1151582.42;-5202980.89;-5202980.89;15663098.66;15001263.75;15001263.75;14251200.5625;;;14251200.5625;0;14251200.5625;0.95
01.356.517/0001-80;2024-06-30;1;;;;;;;;;0;0;37416284.94;36757973.33;-743832.2;-743832.2;0;0;0;0;;;150311.76;150311.76;36822764.5;36164452.89;;;;;;;;;0;0;36822764.5;36164452.89;;;;;4357545.95;4357545.95;;;4357545.95;4357545.95;;;-348552.73;-348552.73;;;;;-1635248.85;-1376216.06;;;;;-12306.8;-12306.8;;;-2549625.5;-2549625.5;;;;;;;;;;;;;-2216707.26;-2138607.14;-6762441.14;-6425308.23;34417869.31;34096690.61;34096690.61;32391856.0795;;;32391856.0795;0;32391856.0795;0.95
01.356.517/0001-80;2024-09-30;1;0;;0;;0;;0;;0;0;56498672.99;56388934.41;-1100613.95;-1100613.95;0;0;0;0;0;0;199180.92;199180.92;55597239.96;55487501.38;0;;0;;0;;0;;0;0;55597239.96;55487501.38;7349791.69;7349791.69;0;0;0;0;0;0;7349791.69;7349791.69;;;-625388.03;-557504.4;0;0;0;0;-2352048.76;-2091387.68;0;0;0;0;-19056.8;-19056.8;0;0;-2064833.66;-2064833.66;0;0;0;0;0;0;0;0;0;0;0;0;-3565556.91;-3565556.91;-8626884.16;-8298339.45;54320147.49;54538953.62;54538953.62;51812005.939;;;51812005.939;-32391856.08;19420149.859;0.95
01.497.954/0001-14;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;1190548.4;1138881.48;0;0;0;0;0;0;0;0;-400916.41;-420249.52;789631.99;718631.96;0;0;0;0;0;0;0;0;0;0;789631.99;718631.96;1743.43;1743.43;0;0;0;0;0;0;1743.43;1743.43;;;-51859.75;-50753.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-33240.79;-33240.79;0;0;-19625.02;-19625.02;0;0;0;0;0;0;0;0;-45093.23;-38656.57;-149818.79;-142276.27;641556.63;578099.12;578099.12;549194.164;;0;513383.154;-470883.15;42500.004;0.888054
01.497.954/0001-14;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;1265288.43;1232970.39;0;0;0;0;0;0;0;0;-443841.62;-462082.18;821446.81;770888.21;0;0;0;0;0;0;0;0;0;0;821446.81;770888.21;1288.01;1288.01;0;0;0;0;0;0;1288.01;1288.01;;;-54550.39;-54315.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99498.34;-99498.34;0;0;-19732.31;-19732.31;0;0;0;0;0;0;0;0;-12336.25;-18530.91;-186117.29;-192077.42;636617.53;580098.8;1158197.92;1100288.024;;0;1100288.024;-944485.09;155802.934;0.95
01.601.918/0001-59;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;23044.51;23044.51;0;0;0;0;0;0;0;0;-80901.09;-80901.09;-57856.58;-57856.58;0;0;133734.08;0;552574.43;552574.43;-553722;-553722;132586.51;-1147.57;74729.93;-59004.15;141802.02;141802.02;0;0;0;0;0;0;141802.02;141802.02;;;-157165.34;-156711.73;0;0;0;0;0;0;0;0;0;0;-25.88;-28384.88;0;0;0;0;0;0;-2122.74;-2122.74;0;0;-12900;-12900;0;0;0;0;-26937.01;-26937.01;-199150.97;-227056.36;17380.98;-144258.49;-144258.49;0;;0;0;0;0;0
01.601.918/0001-59;2024-06-30;1;;;;;;;;;0;0;74582.85;74582.85;0;0;0;0;0;0;0;0;-54259.19;-51416.49;20323.66;23166.36;;;-9656.18;0;;;;;-9656.18;0;10667.48;23166.36;144813.9;144813.9;;;;;;;144813.9;144813.9;;;-157618.95;-157618.95;;;;;;;;;0;0;-7089.75;-7089.75;;;-6324.6;-6324.6;;;-1866.6;-1866.6;;;0;0;;;-103.98;-103.98;-30717.54;-30717.54;-203721.42;-203721.42;-48240.04;-35741.16;-179999.65;0;;0;0;0;0;0
01.633.741/0001-72;2024-03-31;1;;;;;;;;;0;0;666041.19;666115.02;;;;;;;;;-464919.58;-464919.58;201121.61;201195.44;;;;;;;;;0;0;201121.61;201195.44;24620.01;24536.66;;;;;;;24620.01;24536.66;;;-33302.07;-33305.76;;;;;;;;;;;-3750;-7200;;;-6854.71;-8678.45;;;-563.18;-563.18;;;;-4110;;;;;-4855.21;-24184.26;-49325.17;-78041.65;176416.45;147690.45;147690.45;140305.9275;;;140305.9275;0;140305.9275;0.95
01.633.741/0001-72;2024-06-30;1;;;;;;;;;0;0;712524.7;675176.19;;;;;;;;;-344668.12;-344668.12;367856.58;330508.07;;;;;;;;;0;0;367856.58;330508.07;24919;24333.07;;;;;;;24919;24333.07;;;-35626.24;-34676.98;;;;;;;;;;;-3750;;;;-190105.4;-197372.06;;;-713.37;-713.37;;;;;;;;;-8024.23;-8024.23;-238219.24;-240786.64;154556.34;114054.5;261744.95;248657.7025;;;254004.0025;0;254004.0025;0.970426
01.636.325/0001-28;2024-03-31;1;;0;0;0;0;0;0;0;0;0;5650458;5880383;-138392;;;;;;;;-1952277;-1604424;3559789;4275959;0;0;0;0;0;0;0;0;0;0;3559789;4275959;311116;149610;;;;;;;311116;149610;;;-62500;-62499;;;-382569;-382569;;;;;-1024;-1024;;;;;-630174;;;;-10266;-10265;;;;;;;-5416;-5417;;-177978;-1091949;-639752;2778956;3785817;3785817;3596526.15;;0;3596526.15;-757163;2839363.15;0.95
01.636.325/0001-28;2024-06-30;2;;0;0;0;0;0;0;0;0;0;5788968;4239639;-166067;;;;;;;;-1793568;-670611;3829333;3569028;0;0;0;0;0;0;0;0;0;0;3829333;3569028;204032;359803;;;;;;;204032;359803;;;-62500;-62500;;;-350938;-340774;;;;;-1763;-1763;-42000;-42000;;;-7589;-30358;;;;-10164;;;;;;;;;;-9367;-464790;-496926;3568575;3431905;7217722;6856835.9;;0;6856835.9;-2526202;4330633.9;0.95
01.657.856/0001-05;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;788333.57;871026.65;-420130.52;-420130.52;0;0;0;0;0;0;0;0;368203.05;450896.13;0;0;0;0;0;0;0;0;0;0;368203.05;450896.13;17147.83;17147.83;0;0;0;0;0;0;17147.83;17147.83;;;-30000;-30000;0;0;;;-50917.99;-50917.99;0;0;0;0;-1975;-1975;0;0;-47582.4;-45758.41;0;0;-28600.6;-28600.6;-6955.29;-6955.29;-6300;-6300;0;0;0;0;-132385.11;-87522.63;-304716.39;-258029.92;80634.49;210014.04;210014.04;199513.338;;0;199513.338;-189000;10513.338;0.95
01.657.856/0001-05;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;783390.56;787435.59;-428779.92;-428779.92;0;0;0;0;0;0;0;0;354610.64;358655.67;0;0;0;0;0;0;0;0;0;0;354610.64;358655.67;10394.33;10394.33;0;0;0;0;0;0;10394.33;10394.33;;;-30000;-30000;0;0;;;-47005.11;-47005.11;0;0;0;0;-2153.36;-1825;0;0;-68864.23;-89433.82;0;0;-48968.02;-48968.02;-6955.18;-6955.18;0;0;0;0;0;0;-196412.34;-189299.4;-400358.24;-413486.53;-35353.27;-44436.53;165577.51;157298.6345;;;189000.0045;-189000;0.0045;1.141459
01.964.775/0001-40;2024-03-31;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;4646.21;0;;;;;0;0;4646.21;0;4646.21;0;0;0;0;0;;;;;0;0;;;-3017.01;-1785.4;;;;;;;;;;;;;;;-21033.36;-21033.36;;;;;;;;;;;;;0;0;-24050.37;-22818.76;-19404.16;-22818.76;0;0;;;0;0;0;0
01.964.775/0001-40;2024-06-30;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;32956.56;0;;;;;0;0;32956.56;0;32956.56;0;0;0;0;0;;;;;0;0;;;-2997.3;-2971.59;;;;;;;;;;;;;;;-17839.28;-17839.28;;;;;;;;;;;;;0;0;-20836.58;-20810.87;12119.98;-20810.87;0;0;;;0;0;0;0
01.964.775/0001-40;2024-09-30;1;;;;;;;;;0;0;;;;;;;;;;;;;0;0;34364.63;0;;;;;0;0;34364.63;0;34364.63;0;0;0;0;0;;;;;0;0;;;-3058.54;-4068.68;;;;;;;;;;;;;;;-14656.5;-14656.5;;;;;;;;;;;;;0;0;-17715.04;-18725.18;16649.59;-18725.18;0;0;;;0;0;0;0
02.027.437/0001-44;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;259359.45;232944.4;0;0;0;0;0;0;0;0;-821797.76;-793554.84;-562438.31;-560610.44;0;0;0;0;0;0;0;0;0;0;-562438.31;-560610.44;9395.95;9395.95;0;0;0;0;0;0;9395.95;9395.95;;;-101791.27;-78890.43;0;0;0;0;0;0;0;0;0;0;0;-21346.89;0;0;0;0;0;0;-201.19;-201.19;0;0;-3250;-3250;0;0;0;0;-4220.77;-4638.77;-109463.23;-108327.28;-662505.59;-659541.77;-659541.77;0;;0;0;0;0;0
02.027.437/0001-44;2024-06-30;3;;;;;;;;;0;0;263817.51;262781.49;0;0;0;0;0;0;0;0;-946797.74;-947028.56;-682980.23;-684247.07;;;;;;;;;0;0;-682980.23;-684247.07;2990;2990;;;;;;;2990;2990;;;-102284.04;-5059.83;;;;;;;;;0;0;0;-7115.61;;;-6324.6;-6324.6;;;-2871.88;-2871.88;;;0;0;;;0;0;-7289.26;-7289.26;-118769.78;-28661.18;-798760.01;-709918.25;-1369460.02;0;;;0;0;0;0
02.508.235/0001-14;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;3647266.68;4863022.24;0;0;0;0;0;0;126740000;0;0;0;130387266.68;4863022.24;0;0;0;0;0;0;0;0;0;0;130387266.68;4863022.24;45918.64;45918.64;0;0;0;0;0;0;45918.64;45918.64;;;-194764.4;-194425.63;0;0;0;0;0;0;0;0;0;0;0;-40816;0;0;0;0;0;0;-1024.03;-1024.03;0;0;-18000;-18000;0;0;0;0;-29025.22;-29653.22;-242813.65;-283918.88;130190371.67;4625022;4625022;4393770.9;;0;4446000;-3337729.97;1108270.03;0.961293
02.508.235/0001-14;2024-06-30;1;;;;;;;;;0;0;3647266.68;3647266.68;0;0;0;0;0;0;0;0;0;0;3647266.68;3647266.68;;;;;;;;;0;0;3647266.68;3647266.68;41975.18;41975.18;;;;;;;41975.18;41975.18;;;-195103.17;-195103.17;;;;;;;;;0;0;-3551.02;-3551.02;;;-15178.98;-15178.98;;;0;0;;;0;0;;;0;0;-29500.46;-29500.46;-243333.63;-243333.63;3445908.23;3445908.23;8070930.23;7667383.7185;;;7985699.9985;-7985700;-0.0015;0.98944
03.251.720/0001-18;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;3205442.09;3205442.09;0;0;0;0;0;0;0;0;-937701.48;-937701.48;2267740.61;2267740.61;0;0;0;0;0;0;-8477.68;-8477.68;-8477.68;-8477.68;2259262.93;2259262.93;492367.75;492367.75;0;0;0;0;-251488.86;-251488.86;240878.89;240878.89;0;0;-147010.67;-147010.67;0;0;-94828.36;-94828.36;0;0;0;0;0;0;-15950.01;-7200;0;0;-485169.78;-382064.04;-35550.28;-35550.28;-3367.79;-3367.79;0;0;-3333.33;0;0;0;0;0;-4249.07;-4249.07;-789459.29;-674270.21;1710682.53;1825871.61;1825871.61;1734578.0295;;0;1825871.61;-1082702.17;743169.44;1
03.251.720/0001-18;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;3324848.3;3238130.97;0;0;0;0;0;0;0;0;-641444.52;-641444.52;2683403.78;2596686.45;0;0;0;0;0;0;-2705.23;-2705.23;-2705.23;-2705.23;2680698.55;2593981.22;288856.55;288856.55;0;0;0;0;-20287.64;-20287.64;268568.91;268568.91;0;0;-254884.01;-254884.01;0;0;0;0;0;0;0;0;0;0;-1550.01;0;0;0;-485260.78;-493449.19;-257515.12;-257515.12;0;0;0;0;-6666.68;-4100;0;0;0;0;-5412.81;-5412.81;-1011289.41;-1015361.13;1937978.05;1847189;3673060.61;3489407.5795;;0;3321804.55;-2736804.55;585000;0.90437
03.507.519/0001-59;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;10169790.66;12164598.24;-1455353.69;-1455353.69;0;0;0;0;0;0;-568564.94;-568564.94;8145872.03;10140679.61;0;0;0;0;0;0;0;0;0;0;8145872.03;10140679.61;189926.89;189926.89;0;0;0;0;0;0;189926.89;189926.89;;;-271828.14;-266585.64;0;0;0;0;0;0;0;0;0;0;0;-77326;0;0;-27338.21;-27338.21;0;0;-36282.85;-36282.85;0;0;0;-5500;0;0;0;0;146058.99;-8080.08;-189390.21;-421112.78;8146408.71;9909493.72;9909493.72;9414019.034;;0;7855455.004;-5237353.64;2618101.364;0.79272
03.507.519/0001-59;2024-06-30;1;;;;;;;;;0;0;9836926.21;10237213.18;-440994.8;-440994.8;0;0;0;0;0;0;-655261.93;-655261.93;8740669.48;9140956.45;;;;;;;;;0;0;8740669.48;9140956.45;204684.41;204684.41;;;;;;;204684.41;204684.41;;;-263459.49;-266198.81;;;;;;;;;0;0;-8437.32;-8437.32;;;-66374.31;-66374.31;;;-35417.23;-35417.23;;;0;0;;;-126.81;-126.81;-7533.23;-7533.23;-381348.39;-384087.71;8564005.5;8961553.15;18871046.87;17927494.5265;;;17964024.9965;-17964025;-0.0035;0.951936
03.683.056/0001-86;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;12512967.56;12643690.12;0;0;0;0;0;0;0;0;-4173554.35;-2655358.32;8339413.21;9988331.8;0;0;1712122.41;0;17364512.23;17364512.23;-17256667.65;-16756808.54;1819966.99;607703.69;10159380.2;10596035.49;1662765.61;1662765.61;0;0;0;0;0;0;1662765.61;1662765.61;;;-1039944.07;-1026365.19;0;0;0;0;0;0;0;0;-6152.61;-6152.61;0;0;0;0;-100192.15;-100192.15;0;0;-21598.3;-21598.3;0;0;-5250;-5250;0;0;-331.6;-331.6;-202405.73;-243207.34;-1375874.46;-1403097.19;10446271.35;10855703.91;10855703.91;10312918.7145;;0;10297039.0545;-10291576.89;5462.1645;0.948537
03.683.056/0001-86;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;13156212.96;12212900.89;0;0;0;0;0;0;0;0;-3954159.94;-2620136.52;9202053.02;9592764.37;0;0;-1786076.96;0;790774.16;790774.16;-831006.7;-765194.94;-1826309.5;25579.22;7375743.52;9618343.59;1557315;1557315;0;0;0;0;0;0;1557315;1557315;;;-1052748.03;-1035438.06;0;0;0;0;0;0;0;0;-6215.88;-6215.88;-9032.07;-9032.07;0;0;-155220.5;-155220.5;0;0;-28135.19;-28135.19;0;0;0;0;0;0;-126.81;-126.81;-159717.51;-169540.9;-1411195.99;-1403709.41;7521862.53;9771949.18;20627653.09;19596270.4355;;;20573284.9955;-20573285;-0.0045;0.997364
03.855.441/0001-63;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-261437.13;-261437.13;-261437.13;-261437.13;0;0;0;0;0;0;0;0;0;0;-261437.13;-261437.13;3552018.36;3552018.36;0;0;0;0;24813867.27;0;28365885.63;3552018.36;;;-456081.29;-453541.72;0;0;0;0;0;0;0;0;-3230.36;-3230.36;-43312.5;0;0;0;0;0;0;0;-6812.06;-6812.06;0;0;0;0;0;0;0;0;-18619997.46;-138245.26;-19129433.67;-601829.4;8975014.83;2688751.83;2688751.83;2554314.2385;;0;2554314.2385;0;2554314.2385;0.95
03.855.441/0001-63;2024-06-30;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;-261437.15;-261437.15;-261437.15;-261437.15;;;;;;;;;0;0;-261437.15;-261437.15;3465530.52;3465530.52;;;;;20792286.03;0;24257816.55;3465530.52;;;-458620.86;-458620.86;;;;;;;;;-3263.58;-3263.58;-43312.5;-150000;;;-10119.36;-10119.36;;;-6928.33;-6928.33;;;0;0;;;0;0;-15798034.5;-136934.61;-16320279.13;-765866.74;7676100.27;2438226.63;5126978.46;4870629.537;;;5119478.447;-1023895.68;4095582.767;0.998537
03.855.441/0001-63;2024-09-30;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;-261437.15;-261437.15;-261437.15;-261437.15;;;;;;;;;0;0;-261437.15;-261437.15;3566501.02;3566501.02;;;;;19033118.95;0;22599619.97;3566501.02;;;-458620.86;-458620.86;;;;;;;;;-3263.58;-3263.58;-43312.5;0;;;-5059.68;-5059.68;;;-31920.74;-31920.74;;;0;0;;;0;0;-14140510.58;-253121.58;-14682687.94;-751986.44;7655494.88;2553077.43;2553077.43;2425423.5585;;;-0.0015;0;-0.0015;0
