CNPJ_Fundo;Data_Referencia;Versao;Ativo_Negociado;Natureza_Transacao;Data_Transacao;Valor_Envolvido;Data_Assembleia;Contraparte
11.839.593/0001-09;2024-06-01;1;COTAS DE FII - VALORA CRI INDICE DE PRECO FUNDO DE INVESTIMENTO IMOBILIARIO - FII;AQUISIÇÃO;2023-06-30;180000;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL TESOURO SELIC FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;AQUISIÇÃO;2023-06-30;2034593.03247768;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-06-30;3842306258.72196;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-03;8289636.35;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-04;625581.97;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-05;793212.08;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-06;692806.95;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-07;5999774.8;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-07;383827.85;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-10;1451130.03;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-12;319830.7;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-13;5055914.8;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-13;252360.15;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-14;720000;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-14;1053888.68;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-17;120615.44;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-18;29413.39;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-19;541780.59;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-20;14822.83;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-20;288698.33;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-21;2143098.58;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-21;759075.08;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2023-07-24;12576.19;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2024-06-01;1;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2023-07-25;45063.76;2022-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
