CNPJ_Fundo;Data_Referencia;Versao;Ativo_Negociado;Natureza_Transacao;Data_Transacao;Valor_Envolvido;Data_Assembleia;Contraparte
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-03-01;39674.72;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-03-27;39795.32;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-09;1238174.47;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-10;729575.01;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-14;127715.7;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-15;4595.31;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-16;607300;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-20;69931.12;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-22;1300;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-23;195900;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-27;9685.41;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-30;744300;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-05-31;39823.91;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-04;609039;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-05;154231;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-06;26800;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-07;732221.25;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-10;925446;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-11;527337.38;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-12;125947.82;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-13;2340;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-14;1895;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-17;1950;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-18;25491.07;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-19;2879365.57;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-24;369726.51;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-24;1000;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;AQUISIÇÃO;2019-06-24;204100;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-25;54150.22;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-26;1872;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
04.722.883/0001-02;2019-12-01;1;BTG PACTUAL CAPITAL MARKETS FI RF CP;ALIENAÇÃO;2019-06-26;1096;2019-04-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
