CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
01.497.954/0001-14;2020-12-01;2;Castro, Martini Engenheiros Associados S/C Ltda.;02.989.103/0001-51;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2020-12-01;2;Centrum Engenharia - Engenheiros Associados S/S;10.412.734/0001-31;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2020-12-01;2;Lippert Advogados;92.248.004/0001-01;R Manoelito de Ornellas, 55 - 10 Andar -Porto Alegre/RS.;(51) 3227-3448
01.636.325/0001-28;2020-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
01.636.325/0001-28;2020-12-01;1;Smith e Advogados Associados;4382706000116;Av. Cristovão Colombo, 2955 - conj. 503;51-3212-6665
01.657.856/0001-05;2020-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
04.141.645/0001-03;2020-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
04.141.645/0001-03;2020-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
05.562.312/0001-02;2020-12-01;2;GERPRO ENGENHARIA LTDA;10518679000169;Avenida Rio Branco, 181 - sala 2104 e 2105 - Centro, Rio de Janeiro/RJ - CEP: 20040-918;(21) 2215-1132
06.175.262/0001-73;2020-12-01;1;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP;11 3003-9285
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2020-12-01;1;N/A;0;N/A;0
10.456.799/0001-89;2020-12-01;2;Condominio Viva Open Mall;;Av. Dr. Nilo Peçanha, 3228 - Porto Alegre/RS;51 - 3073-7130
11.602.654/0001-01;2020-12-01;1;CONSTRUTORA CRR INCORPORACAO E PARTICIPACOES LTDA;67280339000160;RUA HADDOCK LOBO, 846, Andar 8, Cerqueira Cesar, São Paulo, SP - 01414-002;(11) 3016-3016
12.804.013/0001-00;2020-12-01;1;RL ADM. GESTÃO EMPREEND. IMOBILIÁRIOS;7231706000103;ROD JOSÉ CARLOS MAUX,  5500 - KM 5;48-30284506
