CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
12.969.125/0001-03;2018-12-01;1;JP Leal Advogados SS;03.042.181/0001-07;Rua Eng. Ildefonso Simões Lopes, 390, Porto Alegre/RS;(51) 3223-7650
12.969.125/0001-03;2018-12-01;1;Negrão Ferrari Sociedade de Advogados;10.336.302/0001-99;Rua Olimpíadas, 134, 9º andar, São Paulo/SP;(11) 3047-0777
12.969.125/0001-03;2018-12-01;1;Diaz Rosa Sociedade de Advogados;30.686.676/0001-41;Rua Coronel Adriano Machado, 104, São Paulo/SP;(11) 5641-1995
12.989.974/0001-29;2018-12-01;1;Líder Serviços Gerais Eireli;23.211.179/0001-21;Avenida Embaixador Abelardo Bueno, 01, BL 01, sala 311E - Jacarepaguá - CEP 22775-022 - Rio de Janeiro;(21)3298-9002
13.920.018/0001-53;2018-12-01;1;Intrader D.T.V.M. Ltda;15489568000195;RUA RAMOS  BATISTA, 152, 1º ANDAR, VILA OLIMPIA, SÃO PAULO/SP;11-31985900
13.920.018/0001-53;2018-12-01;1;GOULART & COLEPICOLO ADVOGADOS ASSOCIADOS;3688091000198;Alameda Santos, 200 - 4º andar, Cerqueira César, São Paulo/SP;11-32536256
14.376.247/0001-11;2018-12-01;1;FG/A CONSULTORIA E GESTÃO DE ATIVOS LTDA;27.620.408/0001-12;R IGUATEMI 00192, CJ 203 E VGS;(11) 3586-1915
14.788.458/0001-61;2018-06-01;1;CETIP;09.358.105/0001-91;Alameda Xingu, 350 - Alphaville Industrial, Barueri - SP, 06455-000;(11) 3105-2463
14.788.458/0001-61;2018-06-01;1;CVM;29.507.878/0002-80;Condomínio Edifício Delta Plaza - R. Cincinato Braga, 340 - Bela Vista, São Paulo - SP, 01333-010;(11) 2146-2000
15.006.267/0001-63;2018-12-01;1;CBRE Consultoria do Brasil LTDA;51.718.575/0001-85;Av das Nações Unidas 14171 - São Paulo, SP;(11) 4064 4041
