CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2018-01-01;1;4175233.61;213859.96;0;0;3961373.65;475857597.95;475857597.95;0;475389654.75;0;0;0;467943.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4534500.36;4176250.25;0;358250.11;281677.03;57680.68;0;0;0;198487.16;0;0;603.22;275489.08;813937.17
00.332.266/0001-31;2018-02-01;2;10703926.22;4597837.05;0;0;6106089.17;475939413.25;475939413.25;0;475482369.67;0;0;0;457043.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4209502.31;3713270.41;0;496231.9;896251.53;57680.7;0;0;0;284221.79;0;0;603.22;334399.17;1573156.41
00.332.266/0001-31;2018-03-01;1;12315369.64;206231.11;0;0;12109138.53;476046765.98;476046765.98;0;475600622.02;0;0;0;446143.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4023390.96;3504636.64;0;518754.32;4510315.1;57680.68;0;0;0;334842.02;0;0;603.22;258100.02;5161541.04
00.332.266/0001-31;2018-04-01;1;7893509.63;121882.04;0;0;7771627.59;478736414.28;478736414.28;0;478301169.94;0;0;0;435244.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4056740.89;3416230;0;640510.89;2738199.31;57680.68;0;0;0;430496.15;0;0;603.22;493466.03;3720445.39
00.332.266/0001-31;2018-05-01;2;7385026.45;87938.02;0;0;7297088.43;479741133.71;479741133.71;0;479316788.99;0;0;0;424344.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3744105.12;3193315.64;0;550789.48;2711367.99;57680.7;0;0;0;645045.78;0;0;603.22;600578.9;4015276.59
00.332.266/0001-31;2018-06-01;1;7078463.79;613432.87;0;0;6465030.92;480756764.59;480756764.59;0;480343319.49;0;0;0;413445.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3731110.98;3208806.23;0;522304.75;2991215.68;57680.7;0;0;0;177186.53;0;0;603.22;536963.31;3763649.44
00.332.266/0001-31;2018-07-01;2;7215890.5;22248.82;0;0;7193641.68;482359004.66;482359004.66;0;481956459.18;0;0;0;402545.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3653941.9;3330061.97;0;323879.93;2973499.12;57680.7;0;0;0;118174.92;0;0;603.22;901654.84;4051612.8
00.332.266/0001-31;2018-08-01;3;6652500.84;91208.67;0;0;6561292.17;485465738.53;485465738.53;0;485074092.67;0;0;0;391645.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3427317.57;3169775.04;0;257542.53;3419951.4;57680.7;0;0;0;0;0;0;603.22;1194674.8;4672910.12
00.332.266/0001-31;2018-09-01;1;8256989.43;63084.2;0;0;8193905.23;486750956.11;486750956.11;0;486370209.87;0;0;0;380746.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3620063.6;3372615.09;0;247448.51;2899155.25;57680.7;0;0;455973.28;0;0;0;603.22;827703.51;4241115.96
00.332.266/0001-31;2018-10-01;1;8647207.69;745009.76;0;0;7902197.93;487930864.49;487930864.49;0;475327000;12234017.87;0;0;369846.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3687248.57;3407565.81;0;279682.76;3726068.6;57680.7;0;0;395800.02;0;0;0;603.22;510550.55;4690703.09
