CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.613.094/0001-74;2019-04-01;1;44691.63;44691.63;0;0;0;10482487.9;10482487.9;10482487.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;186220699.55;0;183394780.9;2825918.65;0;0;0;0;0;0;0;0;0;6444627.41;6444627.41
00.613.094/0001-74;2019-05-01;1;52890.53;52890.53;0;0;0;10482487.9;10482487.9;10482487.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;186684887.53;0;184095207.45;2589680.08;0;0;0;0;0;0;0;0;0;6496404.04;6496404.04
00.613.094/0001-74;2019-06-01;1;61567.78;61567.78;0;0;0;10517987.64;10517987.64;10517987.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;187701490.38;0;185351169.01;2350321.37;0;0;0;0;0;0;0;0;0;6887861.74;6887861.74
00.613.094/0001-74;2019-07-01;1;23482.95;23482.95;0;0;0;10517987.64;10517987.64;10517987.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;188098865.58;0;185981676.87;2117188.71;0;0;0;0;0;0;0;0;0;6885081.52;6885081.52
00.613.094/0001-74;2019-08-01;1;51198.11;51198.11;0;0;0;10517987.64;10517987.64;10517987.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;187812234.3;0;185977699.35;1834534.95;0;0;0;0;0;0;0;0;0;7014757.23;7014757.23
00.613.094/0001-74;2019-09-01;1;38609.6;38609.6;0;0;0;10517987.64;10517987.64;10517987.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;187562156.66;0;185971336.19;1590820.47;0;0;0;0;0;0;0;0;0;7099727.9;7099727.9
00.613.094/0001-74;2019-10-01;1;74277.18;74277.18;0;0;0;10517987.64;10517987.64;10517987.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;187249264.2;0;185975335.54;1273928.66;0;0;0;0;0;0;0;0;0;7185074.72;7185074.72
00.613.094/0001-74;2019-11-01;1;116107.63;116107.63;0;0;0;10517987.64;10517987.64;10517987.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;186963885.88;0;185983456.53;980429.35;0;0;0;0;0;0;0;0;0;7270194.7;7270194.7
00.613.094/0001-74;2019-12-01;1;86743.41;86743.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1543952.79;0;610711.84;933240.95;0;0;0;0;0;0;0;0;0;7211241.76;7211241.76
00.762.723/0001-28;2019-01-01;1;1123448;1430.92;0;0;1122017.08;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2897730.22;1298060;0;1599670.22;1071424.03;27088.56;0;0;0;0;0;0;0;34623.64;1133136.23
00.762.723/0001-28;2019-02-01;3;1231283.16;1873.23;0;0;1229409.93;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2808387.54;1272262.97;0;1536124.57;1087407.45;32834.2;0;0;0;0;0;0;0;116737.92;1236979.57
00.762.723/0001-28;2019-03-01;1;1097723.99;1212.8;0;0;1096511.19;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2685010.58;1269809.43;0;1415201.15;1077093.41;37545.32;0;0;0;0;0;0;0;13770.39;1128409.12
00.762.723/0001-28;2019-04-01;1;964280.75;1298.72;0;0;962982.03;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2636209.03;1271809.5;0;1364399.53;958831.38;29515.29;0;0;0;4269.89;0;0;0;14520.14;1007136.7
00.762.723/0001-28;2019-05-01;1;916719.5;1296.73;0;0;915422.77;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2653392.91;1273795.33;0;1379597.58;863290.09;32940.44;0;0;0;2907.72;0;0;0;3980.16;903118.41
00.762.723/0001-28;2019-06-01;1;1016470.43;1028.64;0;0;1015441.79;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2714584.11;1271381.65;0;1443202.46;964348.77;29515.29;0;0;0;0;0;0;0;3602.52;997466.58
00.762.723/0001-28;2019-07-01;1;1012919.68;754.07;0;0;1012165.61;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2657733.49;1184397.68;0;1473335.81;964194.63;29283.17;0;0;0;0;0;0;0;2250;995727.8
00.762.723/0001-28;2019-08-01;1;983258.86;936.27;0;0;982322.59;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2729292.44;1186732.62;0;1542559.82;934284.3;32622.15;0;0;0;0;0;0;0;2250;969156.45
00.762.723/0001-28;2019-09-01;1;1013762.21;64.25;0;0;1013697.96;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2869567.06;1246441.48;0;1623125.58;964294.95;32789.27;0;0;0;0;0;0;0;7290;1004374.22
00.762.723/0001-28;2019-10-01;1;1004173.1;1573.91;0;0;1002599.19;120600000;120600000;0;120600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;3026165.59;1248873.15;0;1777292.44;940686.05;33721.74;0;0;0;0;0;0;0;7290;981697.79
00.762.723/0001-28;2019-11-01;1;1024405.93;1978.83;0;0;1022427.1;134700000;134700000;0;134700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;3170296.03;1249023.89;0;1921272.14;943020.28;30258.29;0;0;0;0;0;0;0;7290;980568.57
00.762.723/0001-28;2019-12-01;1;1039405.53;1361.24;0;0;1038044.29;134700000;134700000;0;134700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;3317132.72;1247175.18;0;2069957.54;943019.55;31553.63;0;0;0;5679.91;0;0;0;7290;987543.09
00.868.235/0001-08;2019-01-01;1;633280.73;11525.66;0;0;621755.07;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1685120.69;753453.86;0;931666.83;220774.06;45125.63;0;0;0;3553.58;0;0;58058.57;116620.21;444132.05
00.868.235/0001-08;2019-02-01;1;330756.96;327830.87;0;0;2926.09;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1758448.72;741969.64;0;1016479.08;220774.06;35395.14;0;0;0;5047.6;0;0;58058.57;35041.68;354317.05
00.868.235/0001-08;2019-03-01;1;623957.05;464556.3;0;0;159400.75;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1696551.16;679217.11;0;1017334.05;425428.9;36785.21;0;0;0;5047.6;0;0;58058.57;27613.48;552933.76
00.868.235/0001-08;2019-04-01;1;499096.61;7978.9;0;0;491117.71;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1766632.82;750268.04;0;1016364.78;289261.53;38175.28;0;0;0;4441.7;0;0;58058.57;98228.56;488165.64
00.868.235/0001-08;2019-05-01;1;652692.63;470701.62;0;0;181991.01;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1737699.47;764339.62;0;973359.85;426171.84;39565.35;0;0;0;5047.6;0;0;58058.57;76031.35;604874.71
00.868.235/0001-08;2019-06-01;1;660509.3;429265.94;0;0;231243.36;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1741565.57;764824.83;0;976740.74;300170.17;38175.29;0;0;0;4441.7;0;0;58058.57;75480.51;476326.24
00.868.235/0001-08;2019-07-01;1;803834.13;6094.58;0;0;797739.55;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1738044.1;792805.69;0;945238.41;439715.65;40279.86;0;0;0;1280.73;0;0;58058.57;52449.04;591783.85
00.868.235/0001-08;2019-08-01;1;923938.01;3913.66;0;0;920024.35;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1731864.79;799074.91;0;932789.88;539756.67;42384.43;0;0;0;5047.6;0;0;58058.57;41994.29;687241.56
00.868.235/0001-08;2019-09-01;1;763055.07;441537.77;0;0;321517.3;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1698937.37;771008.71;0;927928.66;319462.35;44489;0;0;0;1280.73;0;0;58058.57;60537.5;483828.15
00.868.235/0001-08;2019-10-01;1;858871.77;1914.53;0;0;856957.24;100250000;100250000;0;100250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1706771.21;774832.69;0;931938.52;412559.22;46593.57;0;0;0;8365.04;0;0;64774.11;62877.85;595169.79
00.868.235/0001-08;2019-11-01;1;979446.03;541714.71;0;0;437731.32;96810000;96810000;0;96810000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1691781.06;761847.47;0;929933.59;454708.84;39109.66;0;0;0;1280.73;0;0;64774.11;39398.28;599271.62
00.868.235/0001-08;2019-12-01;1;1020317.01;82963.94;0;0;937353.07;96810000;96810000;0;96810000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1664923.99;724717.17;0;940206.82;505604.66;36109.66;0;0;0;4598.17;0;0;66076.07;47295.61;659684.17
01.201.140/0001-90;2019-01-01;1;12641256.91;5645.33;0;0;12635611.58;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;7045100.22;7000533.14;0;44567.08;9099239.57;75438.25;0;0;0;0;0;0;0;176066.45;9350744.27
01.201.140/0001-90;2019-02-01;2;10735695.95;5842.78;0;0;10729853.17;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;6919250.55;6579490.21;0;339760.34;6660110.26;76945.48;0;0;0;0;0;0;0;610021.2;7347076.94
01.201.140/0001-90;2019-03-01;1;10450731.72;5690.38;0;0;10445041.34;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;7025438.5;6770017.21;0;255421.29;6661300.2;81396.01;0;0;0;69366.66;0;0;0;177113.45;6989176.32
01.201.140/0001-90;2019-04-01;1;10311734.2;5446.84;0;0;10306287.36;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;7335194.58;7075770.7;0;259423.88;6662433.75;75467.19;0;0;0;39902.83;0;0;0;181482.31;6959286.08
01.201.140/0001-90;2019-05-01;1;10561708.97;7341.15;0;0;10554367.82;894848000;894848000;0;894848000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;7535817.18;7174391.02;0;361426.16;6663588.91;77093.13;0;0;0;105044.72;0;0;0;177234.23;7022960.99
