CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
09.326.861/0001-39;2017-12-01;1;1015949-70.2016.8.26.0007;11901.46;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1095933-18.2016.8.26.0100;128725.72;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1080082-36.2016.8.26.0100;198899.77;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1001040-23.2016.5.02.0013;40739;Em princípio, não há impacto direto no fundo imobiliário.
09.326.861/0001-39;2017-12-01;1;1014885-71.2015.8.26.0100;819654.84;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1056060-79.2014.8.26.0100;51674.52;Não há risco de perda financeira, apenas de se ter de aceitar valor consignado pela autora nos autos.
09.326.861/0001-39;2017-12-01;1;1085829-35.2014.8.26.0100;61556.76;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1069270-03.2014.8.26.0100;55884.62;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1032805-95.2014.8.26.0002;14273.97;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1032806-80.2014.8.26.0002;61484.67;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1032808-50.2014.8.26.0002;56488.65;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1063030-95.2014.8.26.0100;32742.06;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1046599-83.2014.8.26.0100;36949.25;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1006284-19.2014.8.26.0001;67274.14;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;1006286-86.2014.8.26.0001;123364.8;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado.
09.326.861/0001-39;2017-12-01;1;019/1.13.0016104-0;0;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping busca habilitação de crédito em autos de recuperação judicial.
