CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
04.722.883/0001-02;2018-12-01;1;0129830-64.2010.8.26.0100 (583.00.2010.129830);465050.18;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1020749-28.2017.8.26.0001 (0001956-24.2018.8.26.0001);41977.44;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1033634-40.2018.8.26.0001;14822.14;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1033626-63.2018.8.26.0001;15405.24;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1014477-81.2018.8.26.0001;95219.18;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1038232-71.2017.8.26.0001 (0012316-18.2018.8.26.0001);17716.92;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1038230-04.2017.8.26.0001;24000;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;103562063.2017.8.26.0001 ((0008486-44.2018.8.26.0001);16932.96;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1037925-54.2016.8.26.0001 (0003143-67.2018.8.26.0001);76066.58;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
07.352.632/0001-63;2018-12-01;1;1034229-10.2016.8.26.0001 (1034229-10.2016.8.26.0001);14817.84;Em princípio, sem contingência passiva, na medida em que Fundo/Eventuais antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
