CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
00.332.266/0001-31;2018-12-01;1;Via Parque Shopping;506005000;S;0.0645
00.613.094/0001-74;2018-12-01;1;Villaggio Panamby;568134.51;S;-0.3287
00.613.094/0001-74;2018-12-01;1;Setores 1 e 6B;26172213.14;S;0
00.613.094/0001-74;2018-12-01;1;Setor 7;151931591.48;S;0.0754
00.613.094/0001-74;2018-12-01;1;Setor 8;4662727.47;S;0.0061
00.613.094/0001-74;2018-12-01;1;Setor 6A;5819760.43;S;0.0092
00.762.723/0001-28;2018-12-01;1;Centro Têxtil Internacional;120600000;S;0.0099
00.868.235/0001-08;2018-12-01;1;Hotel;20100000;S;-0.0428
00.868.235/0001-08;2018-12-01;1;Lojas e Conjuntos;59900000;S;0.0583
00.868.235/0001-08;2018-12-01;1;Terreno;10250000;S;0
00.868.235/0001-08;2018-12-01;1;Estacionamento;10000000;S;-0.0909
01.201.140/0001-90;2018-12-01;1;Grand Plaza Shopping;894848000;S;0.1484
01.235.622/0001-61;2018-12-01;2;RUA NUTA JAMES, 877 - MAXIN;35522266.3;N;0
01.235.622/0001-61;2018-12-01;2;TERRENO ITABORAÍ;1027508.56;N;0
01.235.622/0001-61;2018-12-01;2;HUB - MARRECAS 11 E 13;4970418.94;N;0
01.235.622/0001-61;2018-12-01;2;PRESIDENTE VARGAS II - ORBIT;46745898.7;N;0
01.235.622/0001-61;2018-12-01;2;GREEN VILLAGE;36268952.71;N;0
01.235.622/0001-61;2018-12-01;2;PARQUE GRAGOATÁ;2326636.33;N;0
01.235.622/0001-61;2018-12-01;2;ARETÊ - TORIBA (MARINA) - ILHAS E PENINSULA;19616352.46;N;0
01.235.622/0001-61;2018-12-01;2;ARETÊ - YBIRÁ (GOLF) - LOTES;29503570.11;N;0
01.235.622/0001-61;2018-12-01;2;ARETÊ - YBIRÁ (GOLF) - ILHAS;1974495.54;N;0
01.235.622/0001-61;2018-12-01;2;THE GALLERY - LORENGE;19473085.1;N;0
01.235.622/0001-61;2018-12-01;2;QUADRILÁTERO - BOTAFOGO;64623056.54;N;0
01.235.622/0001-61;2018-12-01;2;URUGUAI 330;600000;N;0
01.235.622/0001-61;2018-12-01;2;ENSEADA DO SUÁ - NAVEGANTES;37511527.04;N;0
01.235.622/0001-61;2018-12-01;2;HOTEL & BUREAL;6468.47;N;0
01.235.622/0001-61;2018-12-01;2;FUSION WORK & LIVE;487000;N;0
01.235.622/0001-61;2018-12-01;2;DUE CAPRI;4962189.39;N;0
01.235.622/0001-61;2018-12-01;2;DUE MURANO;2120210.35;N;0
01.235.622/0001-61;2018-12-01;2;TOSCANINI;1343247.99;N;0
01.235.622/0001-61;2018-12-01;2;SEASONS;690370.43;N;0
01.235.622/0001-61;2018-12-01;2;ALEGRO - VITÓRIA;9647859.28;N;0
01.235.622/0001-61;2018-12-01;2;RUA DO MATOSO - INNOVITÁ;7899421.96;N;0
01.235.622/0001-61;2018-12-01;2;PARK SQUARE;6529143.17;N;0
01.235.622/0001-61;2018-12-01;2;ALLEGRO - DAÇÃO;1209442.31;N;0
01.235.622/0001-61;2018-12-01;2;FUSION WORK & LIVE;819094.800000004;N;0
01.235.622/0001-61;2018-12-01;2;VISION;530358.950000003;N;0
01.235.622/0001-61;2018-12-01;2;ENSEADA DO SUÁ - HIGHLINE;25226589.56;N;0
01.235.622/0001-61;2018-12-01;2;CONSTANTE SODRÉ;1196953;N;0
01.235.622/0001-61;2018-12-01;2;GIFT - 8 DE DEZEMBRO;10229631.71;N;0
01.235.622/0001-61;2018-12-01;2;VILLA VELHA - COSTA MARE;27630307.43;N;0
01.235.622/0001-61;2018-12-01;2;ÍCONO PARQUE - FLAMENGO;68375285.41;N;0
01.235.622/0001-61;2018-12-01;2;CITTA AMERICA;126195000;S;0.0104
01.235.622/0001-61;2018-12-01;2;AV. MARECHAL CAMARA, 160;3800000;S;-0.0084
01.235.622/0001-61;2018-12-01;2;AV. PRESIDENTE ANTONIO CARLOS, 51;3080000;S;-0.0099
01.235.622/0001-61;2018-12-01;2;RUA BUENOS AIRES, 48;18110000;S;-0.01
01.235.622/0001-61;2018-12-01;2;CONDE DE BONFIM, 149;5530000;S;-0.0084
01.235.622/0001-61;2018-12-01;2;RIO BRANCO 45;2560000;S;-0.0094
01.235.622/0001-61;2018-12-01;2;RUA DO CARMO 55;1690000;S;-0.0088
01.235.622/0001-61;2018-12-01;2;PRESIDENTE VARGAS;207515000;S;0.0101
01.235.622/0001-61;2018-12-01;2;COLEGIO SÃO JOSÉ;7895000;S;0.01
01.235.622/0001-61;2018-12-01;2;CITTA OFFICE;14890000;S;-0.0097
01.235.622/0001-61;2018-12-01;2;DOM GERARDO,46;19233536.44;S;-0.0068
01.235.622/0001-61;2018-12-01;2;CESBOM;11975000;S;0.0117
01.235.622/0001-61;2018-12-01;2;DOM GERARDO 40/42;20129603.6;S;-0.0066
01.235.622/0001-61;2018-12-01;2;AV. BRASIL;7950000;S;0.0101
01.235.622/0001-61;2018-12-01;2;CARIOCA 11;1545000;S;-0.0081
01.235.622/0001-61;2018-12-01;2;CARIOCA 13;1575000;S;-0.0081
01.235.622/0001-61;2018-12-01;2;CARIOCA 15;1590000;S;-0.0081
01.235.622/0001-61;2018-12-01;2;CARIOCA 17;1585000;S;-0.0081
01.235.622/0001-61;2018-12-01;2;CARIOCA 19;1870000;S;-0.0082
01.235.622/0001-61;2018-12-01;2;CARIOCA 21;1880000;S;-0.0082
01.235.622/0001-61;2018-12-01;2;CARIOCA 23;1650000;S;-0.0081
01.235.622/0001-61;2018-12-01;2;CARIOCA 25;1880000;S;-0.0082
01.235.622/0001-61;2018-12-01;2;CARIOCA 27;1620000;S;-0.0081
01.235.622/0001-61;2018-12-01;2;CARIOCA 29;2195000;S;-0.0084
01.235.622/0001-61;2018-12-01;2;CARIOCA 31;2570000;S;-0.0079
01.235.622/0001-61;2018-12-01;2;CARIOCA 33;3120000;S;-0.0077
01.235.622/0001-61;2018-12-01;2;CARIOCA 53;3310000;S;-0.0079
01.235.622/0001-61;2018-12-01;2;1º DE MARÇO 19/ LJ,PAV 1/PAV 2;5375000;S;0.0104
01.235.622/0001-61;2018-12-01;2;TRAVESSA DO OUVIDOR 9;5940000;S;0.0101
01.235.622/0001-61;2018-12-01;2;SENHOR DOS PASSOS 107;3120000;S;-0.0077
