CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
00.332.266/0001-31;2021-12-01;1;Via Parque Shopping;546596209.29;S;0.0126
00.613.094/0001-74;2021-12-01;2;Villaggio Panamby;551309.59;S;0.25
00.613.094/0001-74;2021-12-01;2;Setores 1 e 6B;0;S;0
00.613.094/0001-74;2021-12-01;2;Setor 7;0;S;0
00.613.094/0001-74;2021-12-01;2;Setor 8;0;S;0
00.613.094/0001-74;2021-12-01;2;Setor 6A;0;S;0
00.762.723/0001-28;2021-12-01;1;ITM;114150000;S;-0.071384
00.868.235/0001-08;2021-12-01;1;Hotel;13200000;S;0.0104
00.868.235/0001-08;2021-12-01;1;Lojas e Conjuntos;66200000;S;0.0453
00.868.235/0001-08;2021-12-01;1;Terreno;11800000;S;-0.1331
00.868.235/0001-08;2021-12-01;1;Estacionamento;9200000;S;0.0527
01.201.140/0001-90;2021-12-01;2;Grand Plaza Shopping;1093308900;S;0.035073
01.235.622/0001-61;2021-12-01;1;19 DE FEVEREIRO EMPREEND;720921.1;S;0
01.235.622/0001-61;2021-12-01;1;BRASILIA PLAZA LTDA;1174819.48;S;0
01.235.622/0001-61;2021-12-01;1;MARINA CINCO ILHAS SPE;1200000;S;0
01.235.622/0001-61;2021-12-01;1;PARQUE TAQUARI EMPREEND;127990391.53;S;0
01.235.622/0001-61;2021-12-01;1;QUATRO DE JANEIRO ADM;39507681.88;S;0
01.235.622/0001-61;2021-12-01;1;XX DE NOVEMBRO INVEST;85253630.6;S;0
01.235.622/0001-61;2021-12-01;1;CRI_18L1368412;45749082.19;S;0
01.235.622/0001-61;2021-12-01;1;CRI_18L1368412;42573441.87;S;0
01.235.622/0001-61;2021-12-01;1;CRI_18L1368427_CCI;131049595.12;S;0
01.235.622/0001-61;2021-12-01;1;CRI_18L1368427;3238408.42;S;0
01.235.622/0001-61;2021-12-01;1;CRI_18L1368427;3058496.84;S;0
01.235.622/0001-61;2021-12-01;1;FII  BRIX;3006691.54;S;0
01.235.622/0001-61;2021-12-01;1;FII  BRIX SENIOR;8788303.59;S;0
01.235.622/0001-61;2021-12-01;1;FII DOVEL;60355980.25;S;0
01.235.622/0001-61;2021-12-01;1;FII GENERAL SEVERIANO;207686.33;S;0
01.235.622/0001-61;2021-12-01;1;FII OPPORTUNITY BALASIANO;9260843.27;S;0
01.235.622/0001-61;2021-12-01;1;FII OPPORTUNITY BALASIANO SENIOR;11940111.85;S;0
01.497.954/0001-14;2021-12-01;1;Lojas, conjuntos comerciais e garagens;140176550;S;0.0274
01.601.918/0001-59;2021-12-01;1;Dantas Barreto;2210000;S;0.086
01.601.918/0001-59;2021-12-01;1;J. Floriano;6450000;S;0.0047
01.601.918/0001-59;2021-12-01;1;Eusebio Matoso;53140000;S;-0.1219
01.633.741/0001-72;2021-12-01;2;Edifício Memorial Office Building;61341759;S;-0.071142
01.636.325/0001-28;2021-12-01;1;Shopping Páteo Moinhos de Vento;173460000;S;0.0032
01.636.325/0001-28;2021-12-01;1;Hotel Sheraton Hotel Porto Alegre;85010000;S;0.0016
01.657.856/0001-05;2021-12-01;1;LOJAS LOCALIZADAS NO SHOPPING CENTER PIEDADE, EM SALVADOR/BA;51107000;S;-0.014087
02.027.437/0001-44;2021-12-01;1;13 lajes Ed. Brasílio Machado;69220000;S;0.016446
02.508.235/0001-14;2021-12-01;1;Contagem;100000000;S;0.075268
