CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
00.332.266/0001-31;2022-12-01;1;Via Parque Shopping;527198900;S;-0.035487
00.613.094/0001-74;2022-12-01;1;Villaggio Panamby;0;S;0
00.613.094/0001-74;2022-12-01;1;Setores 1 e 6B;0;S;0
00.613.094/0001-74;2022-12-01;1;Setor 7;0;S;0
00.613.094/0001-74;2022-12-01;1;Setor 8;0;S;0
00.613.094/0001-74;2022-12-01;1;Setor 6A;0;S;0
00.762.723/0001-28;2022-12-01;1;ITM;104550000;S;-0.084099
00.868.235/0001-08;2022-12-01;1;Hotel;13900000;S;0.053
00.868.235/0001-08;2022-12-01;1;Lojas e Conjuntos;70400000;S;0.0634
00.868.235/0001-08;2022-12-01;1;Terreno;11700000;S;-0.0085
00.868.235/0001-08;2022-12-01;1;Estacionamento;10200000;S;0.1087
01.201.140/0001-90;2022-12-01;1;Grand Plaza Shopping;420945865.43;S;-0.00220038453908133
01.235.622/0001-61;2022-12-01;1;CRI_18L1368412;45488961.07;S;0
01.235.622/0001-61;2022-12-01;1;CRI_18L1368412;42331376.9;S;0
01.235.622/0001-61;2022-12-01;1;CRI_18L1368427_CCI;41524362.06;S;0
01.235.622/0001-61;2022-12-01;1;CRI_18L1368427;2896821.41;S;0
01.235.622/0001-61;2022-12-01;1;CRI_18L1368427;2735886.88;S;0
01.235.622/0001-61;2022-12-01;1;IMOVEIS ACABADOS INVEST OPP;608208690.97;S;0
01.235.622/0001-61;2022-12-01;1;IMOVEIS ACABADOS OPP;17224024.94;S;0
01.235.622/0001-61;2022-12-01;1;IMOVEIS CONTRUÇÃO OPP;822622420.86;S;0
01.235.622/0001-61;2022-12-01;1;TERRENOS OPP;289936299.77;S;0
01.497.954/0001-14;2022-12-01;1;Lojas, conjuntos comerciais e garagens;144955000;S;0.0341
01.601.918/0001-59;2022-12-01;1;Dantas Barreto;2270000;S;0.0271493212669682
01.601.918/0001-59;2022-12-01;1;Joaquim Floriano;6720000;S;0.0418604651162791
01.601.918/0001-59;2022-12-01;1;Eusebio Matoso;57960000;S;0.0907038012796386
01.633.741/0001-72;2022-12-01;1;Edifício Memorial Office Building;59286765;S;-0.033794
01.636.325/0001-28;2022-12-01;1;Shopping Páteo Moinhos de Vento;182427754.44;S;0.0347
01.636.325/0001-28;2022-12-01;1;Hotel Sheraton Hotel Porto Alegre;85844137.9;S;0.0032
01.657.856/0001-05;2022-12-01;1;LOJAS LOCALIZADAS NO SHOPPING CENTER PIEDADE, EM SALVADOR/BA;47868000;S;-0.014087
02.027.437/0001-44;2022-12-01;1;13 lajes Edifício Brasílio Machado;67280000;S;-0.028026
02.508.235/0001-14;2022-12-01;1;Contagem;116260000;S;0.1626
03.251.720/0001-18;2022-12-01;1;Edifício New York e Los Angeles;276959246;S;-0.088
03.507.519/0001-59;2022-12-01;1;Shopping Patio Higienópolis;534148875.67;S;0.00222313194040713
03.683.056/0001-86;2022-12-01;1;Ed JK Financial Center;307700000;S;0.1769
03.683.056/0001-86;2022-12-01;1;Ed Jatoba;22600000;S;0.0503
03.683.056/0001-86;2022-12-01;1;Ed Girassol;72200000;S;-0.0215
03.683.056/0001-86;2022-12-01;1;Ed Intern do Rio;17303000;S;0.0002
03.683.056/0001-86;2022-12-01;1;Ed Candelária;11500000;S;-0.0086
03.683.056/0001-86;2022-12-01;1;Ed Parque Cultural Paulista 8, 11, 12, 14 e 15 andar;76600000;S;0.0013
03.683.056/0001-86;2022-12-01;1;Ed Parque Santos;77500000;S;-0.0215
03.683.056/0001-86;2022-12-01;1;Ed Continental Square;117700000;S;0.1021
03.683.056/0001-86;2022-12-01;1;Ed Bravo! Paulista;97209000;S;0
04.066.582/0001-60;2022-12-01;2;Instituto de Especialidade Pediatricas de Sao Paulo - Hospital da Crianca;61655000;S;0.0302
04.141.645/0001-03;2022-12-01;1;Cond Continental Square Faria Lima 18 conjuntos;142100000;S;0.0458
04.141.645/0001-03;2022-12-01;1;75% do Hotel Pullman Vila Olimpia;76885000;S;0.0075
04.644.612/0001-78;2022-12-01;1;IMOVEL CESTO-HOTEL;16748000;S;-0.1206
04.722.883/0001-02;2022-12-01;1;Torre Norte - Centro Empresarial Nacoes Unidas - CENU;759150280;S;-0.028
04.782.236/0001-88;2022-12-01;1;Condomínio Perini Business Park (Edificação);489915000;S;0.0748
04.782.236/0001-88;2022-12-01;1;Condomínio Perini Business Park (Terreno);211537200;S;0.0643
05.437.916/0001-27;2022-12-01;1;Centro de Distribuição Anhanguera -   CDA;93257000;S;0.0462
05.437.916/0001-27;2022-12-01;1;Centro de distribuição do Rio de Janeiro - CDRJ;16265000;S;-0.0052
05.437.916/0001-27;2022-12-01;1;Torre de Testes de Elevadores;13919000;S;0.0304
05.562.312/0001-02;2022-12-01;1;Ed Almirante Barroso;307175599.89;S;-0.005
06.175.262/0001-73;2022-12-01;1;Edifício Ourinvest - Edificações;41872000;S;-0.0693
07.000.400/0001-46;2022-12-01;1;CARJ - Rio de Janeiro;192868000;S;0.176741915802318
07.000.400/0001-46;2022-12-01;1;Sede I - Brasilia;160235000;S;-0.1433
07.122.725/0001-00;2022-12-01;1;Edificio Torre Almirante;215620000;S;-0.1082
07.224.019/0001-60;2022-12-01;1;SHOPPING PARQUE DOM PEDRO II;1820947612.65;S;-0.0653
07.583.627/0001-61;2022-12-01;1;Jd.Paulistano;22300000;S;-0.00446428571428571
07.583.627/0001-61;2022-12-01;1;Pacaembu;11000000;S;-0.00900900900900901
07.583.627/0001-61;2022-12-01;1;Araçatuba;18400000;S;-0.00540540540540541
07.583.627/0001-61;2022-12-01;1;Cardoso de Almeida;32800000;S;-0.00303951367781155
07.583.627/0001-61;2022-12-01;1;Guaratinguetá;4900000;S;0
07.583.627/0001-61;2022-12-01;1;CRS 516 Brasília;18600000;S;0.00540540540540541
07.583.627/0001-61;2022-12-01;1;RÓTULA SALVADOR;67200000;S;0.00598802395209581
07.583.627/0001-61;2022-12-01;1;Santos Pedreira;18400000;S;0
07.583.627/0001-61;2022-12-01;1;Curuçá;9900000;S;0
07.583.627/0001-61;2022-12-01;1;Sócrates;27300000;S;-0.00364963503649635
07.583.627/0001-61;2022-12-01;1;Portal;38400000;S;-0.00518134715025907
07.583.627/0001-61;2022-12-01;1;0305-Sul;12700000;S;-0.0078125
07.583.627/0001-61;2022-12-01;1;0309-Sul;15800000;S;-0.00628930817610063
07.583.627/0001-61;2022-12-01;1;Alplhaville;31200000;S;-0.00319488817891374
07.583.627/0001-61;2022-12-01;1;Pedroso;12500000;S;-0.00793650793650794
07.583.627/0001-61;2022-12-01;1;Granja Viana;21400000;S;-0.00465116279069767
07.583.627/0001-61;2022-12-01;1;Nova Cantareira;24200000;S;-0.00411522633744856
07.583.627/0001-61;2022-12-01;1;Morumbi;47200000;S;0.00212314225053079
07.583.627/0001-61;2022-12-01;1;Rosa e Silva;17600000;S;0.00571428571428571
07.583.627/0001-61;2022-12-01;1;Sudoeste;28400000;S;-0.00350877192982456
07.583.627/0001-61;2022-12-01;1;Real Parque;49700000;S;-0.00200803212851406
07.583.627/0001-61;2022-12-01;1;Campo Grande;54000000;S;0.00185528756957328
07.583.627/0001-61;2022-12-01;1;Curitiba;39800000;S;0.00505050505050505
07.583.627/0001-61;2022-12-01;1;Campinas;118900000;S;0.0119148936170213
07.583.627/0001-61;2022-12-01;1;Anhanguera;155200000;S;0.00323206205559147
07.583.627/0001-61;2022-12-01;1;João Dias;139500000;S;0.0021551724137931
07.583.627/0001-61;2022-12-01;1;Campinas;79800000;S;0.00251256281407035
07.583.627/0001-61;2022-12-01;1;Anchieta;186100000;S;0.0163844893500819
07.583.627/0001-61;2022-12-01;1;São Caetano;153700000;S;0.00130293159609121
07.583.627/0001-61;2022-12-01;1;Altos XV;65500000;S;0.00460122699386503
07.583.627/0001-61;2022-12-01;1;Penha;104600000;S;0.00383877159309021
07.583.627/0001-61;2022-12-01;1;Aeroporto;126000000;S;0.00158982511923688
07.583.627/0001-61;2022-12-01;1;Montese;59900000;S;0.00672268907563025
07.583.627/0001-61;2022-12-01;1;Sorocaba;160800000;S;0.00562851782363977
07.583.627/0001-61;2022-12-01;1;Brasília Norte;161000000;S;0
07.583.627/0001-61;2022-12-01;1;Santos;151900000;S;0.00197889182058048
07.583.627/0001-61;2022-12-01;1;Guaianases;71500000;S;0.00280504908835905
07.583.627/0001-61;2022-12-01;1;Taboão da Serrra;137800000;S;0.00291120815138282
07.583.627/0001-61;2022-12-01;1;Vasco da Gama;64200000;S;0.00469483568075117
07.583.627/0001-61;2022-12-01;1;Goiânia;94000000;S;0.0053475935828877
07.583.627/0001-61;2022-12-01;1;Brasília Sul;109200000;S;-0.000914913083257091
07.583.627/0001-61;2022-12-01;1;Freguesia do Ó;88600000;S;0.00112994350282486
07.583.627/0001-61;2022-12-01;1;Jaguaré;136600000;S;0.00220102714600147
07.583.627/0001-61;2022-12-01;1;Belvedere;89900000;S;0
07.583.627/0001-61;2022-12-01;1;Ricardo Jafet;166500000;S;-0.0159574468085106
07.583.627/0001-61;2022-12-01;1;Recife;47500000;S;0.00849256900212314
07.583.627/0001-61;2022-12-01;1;Taguatinga;117200000;S;0.0120898100172712
07.583.627/0001-61;2022-12-01;1;Paralela;93100000;S;0.00757575757575758
07.583.627/0001-61;2022-12-01;1;Minas Shopping;101800000;S;0.0200400801603206
07.583.627/0001-61;2022-12-01;1;Edgard Facó;15600000;S;0
07.583.627/0001-61;2022-12-01;1;Vila Guarani;2500000;S;-0.0740740740740741
07.583.627/0001-61;2022-12-01;1;Carapicuíba;10900000;S;-0.00909090909090909
07.583.627/0001-61;2022-12-01;1;Guarajá - Dom Pedro;25100000;S;0.004
07.583.627/0001-61;2022-12-01;1;Morro Grande;8400000;S;0
07.583.627/0001-61;2022-12-01;1;Osasco;19500000;S;-0.00510204081632653
07.583.627/0001-61;2022-12-01;1;Dourados;27100000;S;0.0304182509505703
07.583.627/0001-61;2022-12-01;1;Santo André;56400000;S;-0.00529100529100529
07.583.627/0001-61;2022-12-01;1;Jabaquara;42200000;S;0.00237529691211401
07.583.627/0001-61;2022-12-01;1;Teodoro;49200000;S;0.00203665987780041
07.583.627/0001-61;2022-12-01;1;Cerro Corá;26400000;S;0.00763358778625954
07.583.627/0001-61;2022-12-01;1;Champagnat;8900000;S;0.0470588235294118
07.583.627/0001-61;2022-12-01;1;Lavandisca;15800000;S;-0.00628930817610063
07.789.135/0001-27;2022-12-01;3;IMÓVEL - CONJUNTO NACIONAL DE BRASILIA;752400000;S;0.0332
07.789.135/0001-27;2022-12-01;3;IMÓVEL - C&A MODAS;37524631.58;S;0.0355
07.789.135/0001-27;2022-12-01;3;IMÓVEL - DROGASIL;11175368.42;S;-0.0092
07.789.135/0001-27;2022-12-01;3;IMÓVEL - CENTER VALE SHOPPING;382500000;S;0.067
07.789.135/0001-27;2022-12-01;3;IMÓVEL - BOTAFOGO PRAIA SHOPPING;405435000;S;-0.0194
