CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
00.332.266/0001-31;2019-12-01;1;Via Parque Shopping;587833300;S;0.1617
00.613.094/0001-74;2019-12-01;1;Villaggio Panamby;610711.84;S;0.0749
00.613.094/0001-74;2019-12-01;1;Setores 1 e 6B;0;S;-1
00.613.094/0001-74;2019-12-01;1;Setor 7;0;S;-1
00.613.094/0001-74;2019-12-01;1;Setor 8;0;S;-1
00.613.094/0001-74;2019-12-01;1;Setor 6A;0;S;-1
00.762.723/0001-28;2019-12-01;1;Centro Têxtil Internacional;134700000;S;0.12
00.868.235/0001-08;2019-12-01;1;Hotel;15100000;S;-0.248756218905473
00.868.235/0001-08;2019-12-01;1;Lojas e Conjuntos;61700000;S;0.0300500834724542
00.868.235/0001-08;2019-12-01;1;Terreno;10410000;S;0.015609756097561
00.868.235/0001-08;2019-12-01;1;Estacionamento;9600000;S;-0.04
01.201.140/0001-90;2019-12-01;1;Grand Plaza Shopping;1021481100;S;0.1415
01.235.622/0001-61;2019-12-01;3;RUA NUTA JAMES, 877 - MAXIN;35537775.82;N;0
01.235.622/0001-61;2019-12-01;3;TERRENO ITABORAÍ;1029714.77;N;0
01.235.622/0001-61;2019-12-01;3;PRESIDENTE VARGAS II - ORBIT;46745898.7;N;0
01.235.622/0001-61;2019-12-01;3;GREEN VILLAGE;42936156.96;N;0
01.235.622/0001-61;2019-12-01;3;PARQUE GRAGOATÁ;2531896.87;N;0
01.235.622/0001-61;2019-12-01;3;ENSEADA DO SUÁ - NAVEGANTES;33990350.72;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - TORIBA I;32542241.8;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - TORIBA OESTE;19051315.19;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - TORIBA LESTE;14296469.74;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - YBIRÁ FASE I;68110398.88;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - YBIRA FASE II;14363314.12;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - YBIRÁ FASE III;11676179.71;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - YBIRA FASE IV;11707370.04;N;0
01.235.622/0001-61;2019-12-01;3;ELESBÃO LINHARES;16668068.91;N;0
01.235.622/0001-61;2019-12-01;3;ELEVA - MIRANTE;5203009.17;N;0
01.235.622/0001-61;2019-12-01;3;LARANJEIRAS, 139;16204306.3;N;0
01.235.622/0001-61;2019-12-01;3;ASSUNÇÃO - BOTAFOGO;12211940.6;N;0
01.235.622/0001-61;2019-12-01;3;HOMEM DE MELO - TIJUCA;135665.8;N;0
01.235.622/0001-61;2019-12-01;3;HOTEL & BUREAL;6468.47;N;0
01.235.622/0001-61;2019-12-01;3;FUSION WORK & LIVE;487000;N;0
01.235.622/0001-61;2019-12-01;3;DUE CAPRI;893737.97;N;0
01.235.622/0001-61;2019-12-01;3;DUE MURANO;589925.87;N;0
01.235.622/0001-61;2019-12-01;3;TOSCANINI;1557297.32;N;0
01.235.622/0001-61;2019-12-01;3;SEASONS;476467.99;N;0
01.235.622/0001-61;2019-12-01;3;ALEGRO - VITÓRIA;925807.96;N;0
01.235.622/0001-61;2019-12-01;3;RUA DO MATOSO - INNOVITÁ;3905863.75;N;0
01.235.622/0001-61;2019-12-01;3;TOUCH OFFICES;12650900.24;N;0
01.235.622/0001-61;2019-12-01;3;MIRAGGIO CHARITAS;19621980.86;N;0
01.235.622/0001-61;2019-12-01;3;PARK SQUARE;1002476.4;N;0
01.235.622/0001-61;2019-12-01;3;ALLEGRO - DAÇÃO;330000;N;0
01.235.622/0001-61;2019-12-01;3;FUSION WORK & LIVE;35903655.53;N;0
01.235.622/0001-61;2019-12-01;3;VISION;39113972.53;N;0
01.235.622/0001-61;2019-12-01;3;HUB - MARRECAS 11 E 13;8728144.23;N;0
01.235.622/0001-61;2019-12-01;3;ENSEADA DO SUÁ - HIGHLINE;126741627.22;N;0
01.235.622/0001-61;2019-12-01;3;GIFT - 8 DE DEZEMBRO;36268694.26;N;0
01.235.622/0001-61;2019-12-01;3;ÍCONO PARQUE - FLAMENGO;162708155.6;N;0
01.235.622/0001-61;2019-12-01;3;THE GALLERY - LORENGE;27170739.99;N;0
01.235.622/0001-61;2019-12-01;3;HIGHLIGHT - QUADRILATERO - BOTAFOGO;77369939.94;N;0
01.235.622/0001-61;2019-12-01;3;TIJUCA ALL WAYS;20445070.79;N;0
01.235.622/0001-61;2019-12-01;3;COSTA NOVA - ÁREA 09 (COSTA MARE);76756781.86;N;0
01.235.622/0001-61;2019-12-01;3;ILUMINATO - RAUL FERNANDES - BOTAFOGO;16379965.33;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - TORIBA NORTE;12487316.65;N;0
01.235.622/0001-61;2019-12-01;3;ARETÊ - TORIBA SUL;14892668.95;N;0
01.235.622/0001-61;2019-12-01;3;CITTA AMERICA;137690000;S;0.0105058751716771
01.235.622/0001-61;2019-12-01;3;AV. MARECHAL CAMARA, 160;3290000;S;0.0103459119496855
01.235.622/0001-61;2019-12-01;3;AV. PRESIDENTE ANTONIO CARLOS, 51;3180000;S;0.0104262295081967
01.235.622/0001-61;2019-12-01;3;RUA BUENOS AIRES, 48;18500000;S;0.0102209944751381
01.235.622/0001-61;2019-12-01;3;CONDE DE BONFIM, 149;4280000;S;0.00918454935622318
01.235.622/0001-61;2019-12-01;3;RIO BRANCO 45;2400000;S;0.01
01.235.622/0001-61;2019-12-01;3;RUA DO CARMO 55;1340000;S;0.00904183535762483
01.235.622/0001-61;2019-12-01;3;COLEGIO SÃO JOSÉ;7150000;S;0.00905063291139241
01.235.622/0001-61;2019-12-01;3;CITTA OFFICE;13870000;S;0.00965205288796103
01.235.622/0001-61;2019-12-01;3;DOM GERARDO,46;18009213.83;S;0.0133982665954198
01.235.622/0001-61;2019-12-01;3;CESBOM;19900000;S;0.0142346208869814
01.235.622/0001-61;2019-12-01;3;DOM GERARDO 40/42;24591653.57;S;0.0065426675097115
01.235.622/0001-61;2019-12-01;3;AV. BRASIL;7950000;S;0.0099375
01.235.622/0001-61;2019-12-01;3;CARIOCA 11;1060000;S;0.00848
01.235.622/0001-61;2019-12-01;3;CARIOCA 13;1080000;S;0.0084375
01.235.622/0001-61;2019-12-01;3;CARIOCA 15;1090000;S;0.00844961240310078
01.235.622/0001-61;2019-12-01;3;CARIOCA 17;1090000;S;0.00844961240310078
01.235.622/0001-61;2019-12-01;3;CARIOCA 19;1290000;S;0.00843137254901961
01.235.622/0001-61;2019-12-01;3;CARIOCA 21;1300000;S;0.00844155844155844
01.235.622/0001-61;2019-12-01;3;CARIOCA 23;1130000;S;0.00843283582089552
01.235.622/0001-61;2019-12-01;3;CARIOCA 25;1300000;S;0.00844155844155844
01.235.622/0001-61;2019-12-01;3;CARIOCA 27;1110000;S;0.00840909090909091
01.235.622/0001-61;2019-12-01;3;CARIOCA 29;1550000;S;0.00842391304347826
01.235.622/0001-61;2019-12-01;3;CARIOCA 31;1710000;S;0.00842364532019704
01.235.622/0001-61;2019-12-01;3;CARIOCA 33;2030000;S;0.00845833333333333
01.235.622/0001-61;2019-12-01;3;CARIOCA 53;2200000;S;0.00846153846153846
01.235.622/0001-61;2019-12-01;3;1º DE MARÇO 19/ LJ,PAV 1/PAV 2;5630000;S;0.0100535714285714
01.235.622/0001-61;2019-12-01;3;TRAVESSA DO OUVIDOR 9;4920000;S;0.00822742474916388
01.235.622/0001-61;2019-12-01;3;SENHOR DOS PASSOS 107;2050000;S;0.00857740585774058
01.235.622/0001-61;2019-12-01;3;SETE DE SETEMBRO 155;1950000;S;0.00946601941747573
01.235.622/0001-61;2019-12-01;3;LARGO DE SANTA RITA 10;960000;S;0.00989690721649485
01.235.622/0001-61;2019-12-01;3;MEM DE SÁ? 102;1710000;S;0.00960674157303371
01.235.622/0001-61;2019-12-01;3;URUGUAIANA 76;1850000;S;0.00844748858447489
01.235.622/0001-61;2019-12-01;3;URUGUAIANA 78;4160000;S;0.00842105263157895
01.235.622/0001-61;2019-12-01;3;TEÓFILO OTONI 24 APTO;396594;S;0.00970588235294118
01.235.622/0001-61;2019-12-01;3;TEÓFILO OTONI 24 LOJA;593406;S;0.00970588235294118
01.235.622/0001-61;2019-12-01;3;VISCONDE DE INHAÚMA, 95;38200000;S;0.0114029850746269
