CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
00.332.266/0001-31;2017-12-01;1;Via Parque Shopping;475327000;S;0.045
00.613.094/0001-74;2017-12-01;1;Villaggio Panamby;846367.93;S;0
00.613.094/0001-74;2017-12-01;1;Setores 1 e 6B;26172213.14;S;0
00.613.094/0001-74;2017-12-01;1;Setor 7;141283499.31;S;-0.0052
00.613.094/0001-74;2017-12-01;1;Setor 8;4634682.71;S;0.0081
00.613.094/0001-74;2017-12-01;1;Setor 6A;5766979.85;S;0.0123
00.762.723/0001-28;2017-12-01;1;Centro Têxtil Internacional;120000000;S;0.00629
00.868.235/0001-08;2017-12-01;1;Hotel;21000000;S;-0.0455
00.868.235/0001-08;2017-12-01;1;Lojas e Conjuntos;56600000;S;0.0035
00.868.235/0001-08;2017-12-01;1;Terreno;10250000;S;0.0159
00.868.235/0001-08;2017-12-01;1;Estacionamento;11000000;S;-0.0227
01.201.140/0001-90;2017-12-01;1;Grand Plaza Shopping;774051000;S;0.1484
01.235.622/0001-61;2017-12-01;3;RUA NUTA JAMES, 877 - MAXIN;35485809.51;N;0
01.235.622/0001-61;2017-12-01;3;TERRENO ITABORAÍ;1027508.56;N;0
01.235.622/0001-61;2017-12-01;3;MARRECAS, 13;2775056.23;N;0
01.235.622/0001-61;2017-12-01;3;PRESIDENTE VARGAS II - ORBIT;46745898.7;N;0
01.235.622/0001-61;2017-12-01;3;GREEN VILLAGE;36268952.71;N;0
01.235.622/0001-61;2017-12-01;3;VILLA VELHA - RODOVIA DO SOL;18625273.3;N;0
01.235.622/0001-61;2017-12-01;3;RUA 2 DE DEZEMBRO - FLAMENGO;89673528.75;N;0
01.235.622/0001-61;2017-12-01;3;PARQUE GRAGOATÁ;2254000;N;0
01.235.622/0001-61;2017-12-01;3;LORENGE;17608233.78;N;0
01.235.622/0001-61;2017-12-01;3;QUADRILÁTERO - BOTAFOGO;62165932;N;0
01.235.622/0001-61;2017-12-01;3;HOTEL & BUREAL;6468.47;N;0
01.235.622/0001-61;2017-12-01;3;DUE CAPRI;221736.81;N;0
01.235.622/0001-61;2017-12-01;3;DUE MURANO;241671.22;N;0
01.235.622/0001-61;2017-12-01;3;TOSCANINI;1129198.66;N;0
01.235.622/0001-61;2017-12-01;3;SEASONS;1074676.43;N;0
01.235.622/0001-61;2017-12-01;3;ALEGRO - VITÓRIA;11537235.87;N;0
01.235.622/0001-61;2017-12-01;3;RUA DO MATOSO - INNOVITÁ;9380224.99;N;0
01.235.622/0001-61;2017-12-01;3;ALLEGRO - DAÇÃO;1739442.31;N;0
01.235.622/0001-61;2017-12-01;3;FUSION WORK & LIVE;819094.800000004;N;0
01.235.622/0001-61;2017-12-01;3;VISION;1458487.11;N;0
01.235.622/0001-61;2017-12-01;3;DUE CAPRI;810845.870000005;N;0
01.235.622/0001-61;2017-12-01;3;DUE MURANO;1562696.84;N;0
01.235.622/0001-61;2017-12-01;3;ENSEADA DO SUÁ - HIGHLINE;48769449.66;N;0
01.235.622/0001-61;2017-12-01;3;CONSTANTE SODRÉ;21545154.2;N;0
01.235.622/0001-61;2017-12-01;3;GIFT - 8 DE DEZEMBRO;18599330.39;N;0
01.235.622/0001-61;2017-12-01;3;CITTA AMERICA;126195000;S;-0.0613
01.235.622/0001-61;2017-12-01;3;AV. MARECHAL CAMARA, 160;3800000;S;-0.2276
01.235.622/0001-61;2017-12-01;3;AV. PRESIDENTE ANTONIO CARLOS, 51;3080000;S;-0.2357
01.235.622/0001-61;2017-12-01;3;RUA BUENOS AIRES, 48;18110000;S;-0.2027
01.235.622/0001-61;2017-12-01;3;CONDE DE BONFIM, 149;5530000;S;-0.0971
01.235.622/0001-61;2017-12-01;3;RIO BRANCO 45;2560000;S;-0.259
01.235.622/0001-61;2017-12-01;3;RUA DO CARMO 55;1690000;S;-0.2778
01.235.622/0001-61;2017-12-01;3;PRESIDENTE VARGAS;207515000;S;-0.0566
01.235.622/0001-61;2017-12-01;3;COLEGIO SÃO JOSÉ;7895000;S;-0.0662
01.235.622/0001-61;2017-12-01;3;CITTA OFFICE;14890000;S;-0.0552
01.235.622/0001-61;2017-12-01;3;DOM GERARDO,46;18802175.32;S;0.0096
01.235.622/0001-61;2017-12-01;3;CESBOM;11975000;S;-0.042
01.235.622/0001-61;2017-12-01;3;DOM GERARDO 40/42;20547534.99;S;-0.0404
01.235.622/0001-61;2017-12-01;3;AV. BRASIL;7950000;S;-0.1107
01.235.622/0001-61;2017-12-01;3;CARIOCA 11;1545000;S;-0.1069
01.235.622/0001-61;2017-12-01;3;CARIOCA 13;1575000;S;-0.1051
01.235.622/0001-61;2017-12-01;3;CARIOCA 15;1590000;S;-0.1092
01.235.622/0001-61;2017-12-01;3;CARIOCA 17;1585000;S;-0.107
01.235.622/0001-61;2017-12-01;3;CARIOCA 19;1870000;S;-0.1262
01.235.622/0001-61;2017-12-01;3;CARIOCA 21;1880000;S;-0.1296
01.235.622/0001-61;2017-12-01;3;CARIOCA 23;1650000;S;-0.1081
01.235.622/0001-61;2017-12-01;3;CARIOCA 25;1880000;S;-0.1256
01.235.622/0001-61;2017-12-01;3;CARIOCA 27;1620000;S;-0.1099
01.235.622/0001-61;2017-12-01;3;CARIOCA 29;2195000;S;-0.1185
01.235.622/0001-61;2017-12-01;3;CARIOCA 31;2570000;S;-0.0967
01.235.622/0001-61;2017-12-01;3;CARIOCA 33;3120000;S;-0.1224
01.235.622/0001-61;2017-12-01;3;CARIOCA 35;2720000;S;-0.1082
01.235.622/0001-61;2017-12-01;3;CARIOCA 37;2855000;S;-0.1036
01.235.622/0001-61;2017-12-01;3;CARIOCA 39;3530000;S;-0.1197
01.235.622/0001-61;2017-12-01;3;CARIOCA 43;4885000;S;-0.0987
01.235.622/0001-61;2017-12-01;3;CARIOCA 47;5125000;S;-0.0961
01.235.622/0001-61;2017-12-01;3;CARIOCA 53;3310000;S;-0.1289
01.235.622/0001-61;2017-12-01;3;1º DE MARÇO 19/ LJ,PAV 1/PAV 2;5375000;S;-0.0874
01.235.622/0001-61;2017-12-01;3;TRAVESSA DO OUVIDOR 9;5940000;S;-0.1252
01.235.622/0001-61;2017-12-01;3;SENHOR DOS PASSOS 107;3120000;S;-0.0957
01.235.622/0001-61;2017-12-01;3;SETE DE SETEMBRO 155;2240000;S;-0.104
01.235.622/0001-61;2017-12-01;3;LARGO DE SANTA RITA 10;870000;S;-0.1343
01.235.622/0001-61;2017-12-01;3;MEM DE SÁ? 102;2070000;S;-0.098
01.235.622/0001-61;2017-12-01;3;URUGUAIANA 76;2345000;S;-0.0998
01.235.622/0001-61;2017-12-01;3;URUGUAIANA 78;5410000;S;-0.1146
01.235.622/0001-61;2017-12-01;3;TEÓFILO OTONI 24 APTO;388582;S;-0.1142
01.235.622/0001-61;2017-12-01;3;TEÓFILO OTONI 24 LOJA;581418;S;-0.1142
01.235.622/0001-61;2017-12-01;3;HOTEL SÃO FRANCISCO;34455000;S;-0.0828
01.235.622/0001-61;2017-12-01;3;METROPOLITAN;43040000;S;-0.0072
01.235.622/0001-61;2017-12-01;3;SÃO PEDRO DA ALDEIA;13335000;S;-0.231
01.235.622/0001-61;2017-12-01;3;TEÓFILO OTONI, 82;22462921.16;S;0.0076
01.235.622/0001-61;2017-12-01;3;MIGUEL COUTO;14813706.61;S;-0.33
01.235.622/0001-61;2017-12-01;3;ARETÊ - TORIBA (HOTEL);2122083.01;S;0
01.497.954/0001-14;2017-12-01;1;Lojas, conjuntos comerciais e garagens;132931500;S;0.1273
01.601.918/0001-59;2017-12-01;1;Dantas Barreto;1740000;S;-0.13
01.601.918/0001-59;2017-12-01;1;J. Floriano;5570000;S;-0.2671
01.601.918/0001-59;2017-12-01;1;Eusebio Matoso;47330000;S;-0.014
01.633.741/0001-72;2017-12-01;1;Edifício Memorial Office Building (Edificação);55576461.29;S;0.04887
01.633.741/0001-72;2017-12-01;1;Edifício Memorial Office Building (Terreno);10149240.71;S;-0.231642
01.636.325/0001-28;2017-12-01;1;Shopping Páteo Moinhos de Vento;151975000;S;0
01.636.325/0001-28;2017-12-01;1;Hotel Sheraton Hotel Porto Alegre;62890305;S;0
01.657.856/0001-05;2017-12-01;1;LOJAS LOCALIZADAS NO SHOPPING CENTER PIEDADE, EM SALVADOR/BA;45383658;S;0
02.027.437/0001-44;2017-12-01;1;Lajes no Ed. Brasilio Machado;63090000;S;-0.0483
02.508.235/0001-14;2017-12-01;1;Contagem;75000000;S;0.02
03.251.720/0001-18;2017-12-01;2;Edifício New York e Los Angeles  (Edificação);153826000;S;0.029391
03.251.720/0001-18;2017-12-01;2;Edifício New York e Los Angeles  (Terreno);101749000;S;-0.150236
03.507.519/0001-59;2017-12-01;2;25% do Shopping Patio Higienópolis;396130750;S;0.1411
03.683.056/0001-86;2017-12-01;1;Ed JK Financial Center;92200000;S;0.0395
03.683.056/0001-86;2017-12-01;1;Ed Jatoba;22200000;S;0.0137
03.683.056/0001-86;2017-12-01;1;Ed Parque Paulista;15300000;S;0.0132
03.683.056/0001-86;2017-12-01;1;Ed Cetenco Plaza;25400000;S;0.0325
03.683.056/0001-86;2017-12-01;1;Ed Intern do Rio;16500000;S;0
03.683.056/0001-86;2017-12-01;1;Ed Candelária;12900000;S;0.075
03.683.056/0001-86;2017-12-01;1;Ed Parque Cultur Paulista;31000000;S;0
03.855.441/0001-63;2017-12-01;1;Laboratório de Fluidos;198646216.2;N;0.066
04.066.582/0001-60;2017-12-01;1;Hospital da Criança;62900000;S;0.0554
04.141.645/0001-03;2017-12-01;1;Cond Continental Square Faria Lima 18 conjuntos;131827528.52;N;0.0033
04.141.645/0001-03;2017-12-01;1;75% do Hotel Pullman Vila Olimpia;54326507;N;0
04.722.883/0001-02;2017-12-01;1;Edifício Torre Norte do CENU - Centro empresarial nações Unidas;725200000;S;0.096
04.782.236/0001-88;2017-12-01;1;Condomínio Perini Business Park (Edificação);349982200;S;0.065663
04.782.236/0001-88;2017-12-01;1;Condomínio Perini Business Park (Terreno);144505300;S;0.064568
04.782.236/0001-88;2017-12-01;1;Condomínio Perini Business Park (obras a construir);20720821.34;N;0
05.437.916/0001-27;2017-12-01;1;Centro de Distribuição Anhanguera CDA (Edificações);36840000;S;0.019764
05.437.916/0001-27;2017-12-01;1;Centro de Distribuição Anhanguera - CDA (Terrenos);54310000;S;0.102898
05.437.916/0001-27;2017-12-01;1;Centro de distribuição do Rio de Janeiro - CDRJ Edificações);7360000;S;-0.08798
05.437.916/0001-27;2017-12-01;1;Centro de distribuição do Rio de Janeiro - CDRJ (Terreno);6270000;S;-0.321429
05.437.916/0001-27;2017-12-01;1;Torre de Testes de Elevadores ( Edificações);1340000;S;-0.439331
05.437.916/0001-27;2017-12-01;1;Torre de Testes de Elevadores ( Terreno);11560000;S;0.132445
05.562.312/0001-02;2017-12-01;1;Edifício Almirante Barroso;483128000;S;-0.162729
06.175.262/0001-73;2017-12-01;1;Edifício Ourinvest - Edificações;41513445;S;0.114
07.000.400/0001-46;2017-12-01;1;Imóvel DF - SEDE1;152813798;S;-0.2957
07.000.400/0001-46;2017-12-01;1;Imóvel RJ - CARJ;184917000;S;-0.086
07.122.725/0001-00;2017-12-01;1;Edifício Torre Almirante;211739987.4;S;0.0394
07.224.019/0001-60;2017-12-01;1;Shopping Parque Dom Pedro;1761941458.37;S;0.0473
07.352.632/0001-63;2017-12-01;1;Rodoshopping;19913000;S;0.0137
07.583.627/0001-61;2017-12-01;1;JARDIM PAULISTANO;16900000;S;-0.111461619348055
07.583.627/0001-61;2017-12-01;1;PACAEMBU;8300000;S;-0.201154956689124
07.583.627/0001-61;2017-12-01;1;ARACATUBA;13200000;S;0.241768579492004
07.583.627/0001-61;2017-12-01;1;CARDOSO DE ALMEIDA;25500000;S;-0.022239263803681
07.583.627/0001-61;2017-12-01;1;GUARATINGUETA;3600000;S;-0.083969465648855
07.583.627/0001-61;2017-12-01;1;CSR 516  BRASILIA;14300000;S;0.00988700564971751
07.583.627/0001-61;2017-12-01;1;ROTULA;48200000;S;-0.336362384689522
07.583.627/0001-61;2017-12-01;1;PEDREIRA;13400000;S;-0.294365455502896
07.583.627/0001-61;2017-12-01;1;CURUCA;7900000;S;-0.0318627450980392
07.583.627/0001-61;2017-12-01;1;SOCRATES;21000000;S;0.169265033407572
07.583.627/0001-61;2017-12-01;1;PORTAL;29700000;S;0.127562642369021
07.583.627/0001-61;2017-12-01;1;305 SUL;9300000;S;-0.0970873786407767
07.583.627/0001-61;2017-12-01;1;ASA SUL 308 SUL;11600000;S;0.0701107011070111
07.583.627/0001-61;2017-12-01;1;ALPHAVILE;24400000;S;-0.164955509924709
07.583.627/0001-61;2017-12-01;1;PEDROSO;9900000;S;0.00712105798575788
07.583.627/0001-61;2017-12-01;1;GRANJA VIANA;15200000;S;0.613588110403397
07.583.627/0001-61;2017-12-01;1;CANTAREIRA;18400000;S;0.246612466124661
07.583.627/0001-61;2017-12-01;1;MORUMBI;37500000;S;0.17998741346759
07.583.627/0001-61;2017-12-01;1;ROSA E SILVA;16500000;S;-0.0288404944084756
07.583.627/0001-61;2017-12-01;1;SUDOESTE;20300000;S;0.459381739755572
07.583.627/0001-61;2017-12-01;1;REAL PARQUE;39100000;S;-0.451459034792368
