CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2022-12-01;1;Epitácio Pessoa  3744 e 3800;Incorporação;22797093.8;Capital Próprio
01.235.622/0001-61;2022-12-01;1;Hotel Glória;Incorporação;79295664.15;Capital Próprio
01.235.622/0001-61;2022-12-01;1;BAL FII;Incorporação;64836000;Capital Próprio
01.235.622/0001-61;2022-12-01;1;BRIX FII;Incorporação;34075725.52;Capital Próprio
04.722.883/0001-02;2022-12-01;1;CDB CDB122I4GA3;Lucro na Venda;4000.00;Capital
04.722.883/0001-02;2022-12-01;1;CDB CDB422P6NP7;Lucro na Venda;325876.32;Capital
04.722.883/0001-02;2022-12-01;1;CDB CDB422RSH7I;Lucro na Venda;324000.30;Capital
07.583.627/0001-61;2022-12-01;1;N/A;N/A;0;N/A
07.789.135/0001-27;2022-12-01;3;IMÓVEL - MINAS SHOPPING;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;78234754;CISÃO OCORRIDA EM 12/12/2022, CONFORME AGE
07.789.135/0001-27;2022-12-01;3;IMÓVEL - SHOPPING NOVA IGUAÇU;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;188500000;INTEGRALIZAÇÃO DE COTISTAS E DÍVIDA
07.789.135/0001-27;2022-12-01;3;COTAS DE FII - VISC11;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;4576746.24;CISÃO OCORRIDA EM 12/12/2022, CONFORME AGE
08.706.065/0001-69;2022-12-01;1;Ibis Congonhas;Renda;23286570.76;Capital
09.552.812/0001-14;2022-12-01;1;CRI 18B0881116;Lucro na Venda;7101222.15;Capital
09.552.812/0001-14;2022-12-01;1;CRI 19B0177968;Lucro na Venda;5211682.84;Capital
09.552.812/0001-14;2022-12-01;1;CRI 19G0228153;Lucro na Venda;41857234.34;Capital
09.552.812/0001-14;2022-12-01;1;CRI 19H0000001;Lucro na Venda;45465812.97;Capital
09.552.812/0001-14;2022-12-01;1;CRI 19I0200836;Lucro na Venda;22619134.34;Capital
09.552.812/0001-14;2022-12-01;1;CRI 20H0695880;Lucro na Venda;21569995.26;Capital
09.552.812/0001-14;2022-12-01;1;CRI 20K0115319;Lucro na Venda;14503435.09;Capital
09.552.812/0001-14;2022-12-01;1;CRI 21E0407330;Lucro na Venda;16530750.00;Capital
09.552.812/0001-14;2022-12-01;1;CRI 21H0976574;Lucro na Venda;21397030.74;Capital
09.552.812/0001-14;2022-12-01;1;CRI 21J0842804;Lucro na Venda;25774320.00;Capital
09.552.812/0001-14;2022-12-01;1;CRI 21L0329279;Lucro na Venda;15000000.00;Capital
09.552.812/0001-14;2022-12-01;1;CRI 22B0084502;Lucro na Venda;23144490.00;Capital
09.552.812/0001-14;2022-12-01;1;CRI 22D0847833;Lucro na Venda;4000000.00;Capital
09.552.812/0001-14;2022-12-01;1;CRI 22E1273339;Lucro na Venda;33000000.00;Capital
09.552.812/0001-14;2022-12-01;1;CRI 22F0930128;Lucro na Venda;38102000.00;Capital
