CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
08.098.114/0001-28;2024-06-01;1;296;2292563;0.2576;0.0541;0.2035;1;562774;0.0632;0;0.0632;;;;;;;;;;;;;;;;;;;;;;;;;;1;6043387;0.6792;0;0.6792
08.696.175/0001-97;2024-06-01;1;7797;927162;1;0.9976;0.0024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.827.568/0001-05;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;37122134.4905246;1;;1
11.839.593/0001-09;2024-06-01;1;333908;43249151;1;0.822394340180227;0.177605659819773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.945.604/0001-27;2024-06-01;1;925;100418;0.793673877476825;0.704093326904992;0.0895805505718328;3;26105;0.206326122523178;0.0562190273705176;0.15010709515266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.005.956/0001-65;2024-06-01;1;275388;28244415;1;0.8836;0.1164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.978.943/0001-72;2024-06-01;1;483;4585746;0.3277;0.678;0.322;7;7739144;0.5531;0.6358;0.3642;1;1667000;0.1192;;1;;;;;;;;;;;;;;;;;;;;;;;;;
13.000.836/0001-38;2024-06-01;1;25;4.46737222;0.186336510175223;0;0;;;;;;1;3.48330984;0.145290736361478;0;0;2;8.78545538;0.366446092958275;0;0;;;;;;1;7.23861778;0.301926660505024;0;0;;;;;;;;;;
14.056.001/0001-62;2024-06-01;1;1612;1473283;0.455948740532682;0.455886535445915;6.22050867668117E-05;8;1757964;0.54405125946732;0.54405125946732;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.080.689/0001-16;2024-06-01;1;1611;216220;0.2266;0.1954;0.0312;9;738084;0.7734;0.649727969284421;0.1237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.410.722/0001-29;2024-06-01;1;67689;13098127;0.823;0.915;0.085;1;1017117;0.064;1;0;1;1804446;0.113;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.423.780/0001-97;2024-06-01;1;6425;16195895;0.87;0.84;0.03;2;2351266;0.13;0;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.631.148/0001-39;2024-06-01;1;29;44575458.51;0.633;0;1;3;13720261.97;0.1948;0;1;0;0;0;0;0;1;12128083.22;0.1722;0;1;;;;;;;;;;;;;;;;;;;;
14.788.492/0001-36;2024-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4007458.3;1;0;1
16.706.958/0001-32;2024-06-01;1;352232;64808913;1;0.9329;0.0671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.802.360/0001-47;2024-06-01;1;5;1554.5467;0.122993198193886;0;0;2;1841.77;0.145717836998755;0;0;1;1463.0239;0.115752063604839;0;0;;;;;;1;2710.6410757;0.214461498683866;0;0;;;;;;1;5069.319944;0.401076321850357;0;0;;;;;
16.924.913/0001-34;2024-06-01;1;54;69803100;0.83;0.9819;0.0181;2;14296900;0.17;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.007.443/0001-07;2024-06-01;1;60;696927.891;0.6413;0.6413;0;6;389852.113;0.3587;0.3587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.216.625/0001-98;2024-06-01;1;88;35592;0.6471;0.638;0.0091;;;;;;;;;;;;;;;;;;;;;;;;;;1;19408;0.3529;;0.3529;;;;;
17.655.115/0001-17;2024-06-01;1;;;;;;;;;;;;;;;;1;30833.33645772;0.2;0;0.2;1;123333.43808275;0.8;0;0.8;;;;;;;;;;;;;;;
18.259.637/0001-62;2024-06-01;1;0;0;0;0;0;1;10;0.0538;1;0;1;23;0.1238;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;152.8;0.8224;0;1
18.369.510/0001-04;2024-06-01;1;1;10185.3462287;0.012419;0;0.0124;;;;;;;;;;;1;143507.6440948;0.174985;0;0.174985;1;166419.771;0.202923;0;0.202923;;;;;;;;;;;1;500000;0.609672;0;0.609672
18.730.914/0001-73;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;55.1165906;1;0;1
18.979.895/0001-13;2024-06-01;1;387877;317828140;1;0.845048314475867;0.154951685524133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.249.956/0001-50;2024-06-01;1;52;7079.5;0.059;0.9972;0.0028;1;7270.5;0.0606;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.249.989/0001-08;2024-06-01;1;139;97897;0.656978343880653;0.3725966539383;0.284381689942353;1;14265;0.0957311876304434;0.0957311876304434;0;2;36849;0.247290468488903;0;0.247290468488903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.872.887/0001-36;2024-06-01;1;96;79324;0.152546153846154;0.0940057692307692;0.0585403846153846;4;172427;0.331590384615385;0.054;0.277590384615385;1;58249;0.112017307692308;0;0.112017307692308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;210000;0.403846153846154;0;0.403846153846154;0;0;0;0;0
20.019.120/0001-48;2024-06-01;1;1;4000;0.00242879531145353;0.00242879531145353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1642907;0.997571204688546;0.997571204688546;0
20.132.453/0001-89;2024-06-01;1;118;565638.662574;0.6989;0.699;0;5;243631.048285;0.3011;0.301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.173.064/0001-00;2024-06-01;1;20;34772;0.0669208370300944;0.0277579441068978;0.0391628929231965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;484827;0.933079162969906;0.933079162969906;0
20.990.694/0001-69;2024-06-01;1;1;2973.52;0.016141;0;0;2;23566.68201365;0.127923;0;0;;;;;;;;;;;4;113703.17773562;0.8559;0;0;;;;;;;;;;;;;;;
21.500.500/0001-62;2024-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1788306;1;0;1
21.500.514/0001-86;2024-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1780984;1;0;1
22.103.617/0001-75;2024-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16993864.971405;0.19999884453048;0;0.199999;1;18690414.5287655;0.219965341365175;0;0.219965;0;0;0;0;0;0;0;0;0;0;1;49285536.2570157;0.580035814104345;0;0.580036
22.459.737/0001-00;2024-06-01;1;57;553024;0.373345503103426;0.00992866912492422;0.363416833978502;1;140557;0.0948897767180236;0;0.0948897767180236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;787685;0.53176472017855;0;0.53176472017855
23.648.935/0001-84;2024-06-01;1;114007;16960024;1;0.7913;0.2087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.740.595/0001-17;2024-06-01;1;3725;845672;0.4028;0.9589;0.0411;2;228472;0.1089;1;0;;;;;;;;;;;;;;;;;;;;;1;1024656;0.4883;0;1;;;;;
23.876.086/0001-16;2024-06-01;1;1;2500;0.0116455160803615;0;0;2;40000;0.186328257285784;0;0;2;53500;0.249214044119736;0;0;2;70000;0.326074450250122;0;0;1;48674.9;0.226737732263995;0;0;;;;;;;;;;;;;;;
23.964.843/0001-03;2024-06-01;1;291;0;0.905806;0.76;0.1458;1;0;0.0942;0;0.0942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.960.430/0001-13;2024-06-01;1;78534;80078186;1;0.86;0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.091.656/0001-50;2024-06-01;1;30002;3252384;1;0.927;0.073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.269.251/0001-60;2024-06-01;1;;;;;;1;2307.947494;0.0722;0;0.0722;;;;;;;;;;;;;;;;;;;;;;;;;;1;29669.37012;0.9278;0;0.9278
26.314.437/0001-93;2024-06-01;1;49;364.898;0.676449814712169;0.568365555557615;0.108084259154554;5;174.533;0.323550185287831;0.0718998351967165;0.251650350091114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.452.179/0001-01;2024-06-01;1;5;6031433.34;0.114;0.015;0.099;1;1609456.43639172;0.056;;0.056;1;3016046.48089997;0.1049;;0.1049;;;;;;;;;;;;;;;;;;;;;1;20856328.7575944;0.7251;;0.7251
26.614.291/0001-00;2024-06-01;2;122119;105802729;1;0.9987;0.0013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.846.134/0001-11;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;75807.90839415;1;0;1
26.846.280/0001-47;2024-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22634.504187;1;0;1
27.445.482/0001-40;2024-06-01;1;265;376512;0.109;0.198;0.802;1;297766;0.0862;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;2780722;0.8048;;1
27.539.651/0001-00;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11396.16818;0.4183;;0.4183;1;15846.72213455;0.5817;;0.5817
27.882.134/0001-30;2024-06-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4275.4272;1;0;1
28.267.696/0001-36;2024-06-01;1;39154;3708168;1;0.945038628239066;0.0549613717609342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.516.325/0001-40;2024-06-01;1;48872;6416725;0.897391091043298;0.79784499999983;0.098517;0;0;0;0;0;1;733697;0.102608908956702;0;0.103638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.737.771/0001-85;2024-06-01;1;151677;11377502;0.93055131730956;0.886298549272592;0.0442527680369685;1;849123;0.0694486826904399;0;0.0694486826904399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.757.546/0001-00;2024-06-01;3;516624;55320191;1;0.7824;0.2176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.830.325/0001-10;2024-06-01;1;289922;36433827;1;0.90789886003466;0.0921011399653404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.899.178/0001-35;2024-06-01;1;41;700322.46;0.5505;0.4316;0.1189;;;;;;;;;;;1;214465.75;0.1686;0;0.1686;1;357357.1;0.2809;0;0.2809;;;;;;;;;;;;;;;
29.467.977/0001-03;2024-06-01;1;133644;15057201;1;0.783596234120804;0.216403765879196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
