CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
04.722.883/0001-02;2023-12-01;2;CDB CDB123OPBTY;Lucro na Venda;4526.53;Capital
04.722.883/0001-02;2023-12-01;2;CDB CDBC237C64K;Lucro na Venda;361477.17;Capital
04.722.883/0001-02;2023-12-01;2;CDB CDBC23BH05R;Lucro na Venda;359289.55;Capital
07.122.725/0001-00;2023-12-01;1;CDB CDB1207CCTY;Lucro na Venda;108366882.00;Capital
07.122.725/0001-00;2023-12-01;1;CDB CDB219451YQ;Lucro na Venda;5992899.00;Capital
07.122.725/0001-00;2023-12-01;1;CDB CDB2196908K;Lucro na Venda;8400000.00;Capital
07.122.725/0001-00;2023-12-01;1;CDB CDB41920N9M;Lucro na Venda;2250000.00;Capital
07.583.627/0001-61;2023-12-01;1;N/A;N/A;0;N/A
07.789.135/0001-27;2023-12-01;1;SPE - MONACO PARTICIPAÇÕES S.A.;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;109464920.92;CISÃO OCORRIDA EM 24/10/2023, CONFORME AGE
07.789.135/0001-27;2023-12-01;1;SPE - CPPIB BOTAFOGO PARTICIPAÇÕES LTDA.;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;81548262.68;CISÃO OCORRIDA EM 24/10/2023, CONFORME AGE
07.789.135/0001-27;2023-12-01;1;COTAS DE FII - FII NOVA IGUAÇU;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;219502780.19;CISÃO OCORRIDA EM 29/12/2023, CONFORME AGE
07.789.135/0001-27;2023-12-01;1;SPE - CE SHOPPING S.A.;AQUISIÇÃO DE ATIVOS IMOBILIÁRIOS CONFORME POLÍTICAS DE INVESTIMENTOS;525677550.02;CISÃO OCORRIDA EM 29/12/2023, CONFORME AGE
08.098.114/0001-28;2023-06-01;1;SPE - TOLEDO;Benefícios futuros;41201684.99;Recursos próprios / emissão de cotas
08.098.114/0001-28;2023-06-01;1;REC 2018 IV EMPREEND;Benefícios futuros;65100;Recursos próprios / emissão de cotas
08.431.747/0001-06;2023-12-01;1;Shopping Jardim Sul - 40%;Renda;227951213.61;Patrimônio
08.431.747/0001-06;2023-12-01;1;Shopping Capim Dourado - 60%;Renda;185320273.8;Patrimônio
08.431.747/0001-06;2023-12-01;1;Vertico Bauru Empreedimento Imobiliários Ltda. - 65%;Renda;152091418.48;Patrimônio
09.552.812/0001-14;2023-12-01;1;CRI 20A0977906;Lucro na Venda;42119282.97;Capital
09.552.812/0001-14;2023-12-01;1;CRI 20A0978038;Lucro na Venda;41715540.78;Capital
09.552.812/0001-14;2023-12-01;1;CRI 20K0699593;Lucro na Venda;13046350.23;Capital
09.552.812/0001-14;2023-12-01;1;CRI 21G0185485;Lucro na Venda;55166523.38;Capital
09.552.812/0001-14;2023-12-01;1;CRI 22H1104501;Lucro na Venda;10760812.33;Capital
09.552.812/0001-14;2023-12-01;1;CRI 23C1221583;Lucro na Venda;7718875.05;Capital
09.552.812/0001-14;2023-12-01;1;CRI 23H2516001;Lucro na Venda;42514987.61;Capital
09.552.812/0001-14;2023-12-01;1;CRI 23H2516002;Lucro na Venda;42514048.84;Capital
10.456.810/0001-00;2023-12-01;1;DPRO11;Ganho de Capital e Proventos;499900;Oferta Pública
10.456.810/0001-00;2023-12-01;1;LF;Ganho de Capital e Proventos;185043.15;Recursos em caixa
11.026.627/0001-38;2023-12-01;1;HEDGE TOP FOF 3 FII;Lucro na Venda;167608.00;Capital
11.026.627/0001-38;2023-12-01;1;FII MOGNO FUNDO DE FUNDOS;Lucro na Venda;6002052.76;Capital
11.026.627/0001-38;2023-12-01;1;FII OURINVEST FOF;Lucro na Venda;3030465.92;Capital
11.026.627/0001-38;2023-12-01;1;CSHG IMOB FOF FII;Lucro na Venda;128350.46;Capital
11.026.627/0001-38;2023-12-01;1;FII IMOB VBI CRI;Lucro na Venda;4956294.54;Capital
11.026.627/0001-38;2023-12-01;1;RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;5901732.96;Capital
11.026.627/0001-38;2023-12-01;1;XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;1931251.08;Capital
11.026.627/0001-38;2023-12-01;1;VINCI IF FII;Lucro na Venda;999842.21;Capital
11.026.627/0001-38;2023-12-01;1;LOGCP INTER FII;Lucro na Venda;31181197.79;Capital
11.026.627/0001-38;2023-12-01;1;CAPITANIA REIT FOF FII;Lucro na Venda;3364062.67;Capital
11.026.627/0001-38;2023-12-01;1;FII RB CAPITAL;Lucro na Venda;4550824.82;Capital
11.026.627/0001-38;2023-12-01;1;VBI REITS MULTIESTRATEGIA FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;128296.63;Capital
11.026.627/0001-38;2023-12-01;1;MORE REAL ESTATE FOF FII;Lucro na Venda;1903740.49;Capital
11.026.627/0001-38;2023-12-01;1;VBI RENDA FOF FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;855226.71;Capital
11.026.627/0001-38;2023-12-01;1;KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIARIOS SUNO 30;Lucro na Venda;1775291.02;Capital
11.026.627/0001-38;2023-12-01;1;HSI LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;5334014.31;Capital
11.026.627/0001-38;2023-12-01;1;BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIARIO;Lucro na Venda;995277.04;Capital
11.026.627/0001-38;2023-12-01;1;REC FUNDO DE FUNDOS FII;Lucro na Venda;617431.86;Capital
11.026.627/0001-38;2023-12-01;1;NAVI IMOBILIÁRIO TOTAL RETURN FII;Lucro na Venda;2201408.24;Capital
11.026.627/0001-38;2023-12-01;1;B3 S.A. - BRASIL BOLSA BALCAO;Lucro na Venda;2894126.50;Capital
11.026.627/0001-38;2023-12-01;1;INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;681629.23;Capital
11.026.627/0001-38;2023-12-01;1;BRPR CORPORATE FII;Lucro na Venda;4244779.98;Capital
11.026.627/0001-38;2023-12-01;1;FII SDI RIO BRAVO RL;Lucro na Venda;9428344.56;Capital
11.026.627/0001-38;2023-12-01;1;XPHOTEISFUNDODEIN;Lucro na Venda;1645705.08;Capital
11.026.627/0001-38;2023-12-01;1;EQI CRI FII;Lucro na Venda;5000009.31;Capital
11.026.627/0001-38;2023-12-01;1;CRI 22K1362572;Lucro na Venda;242062742.28;Capital
11.026.627/0001-38;2023-12-01;1;CRI 23H2516001;Lucro na Venda;52517575.34;Capital
11.026.627/0001-38;2023-12-01;1;CRI 23H2516002;Lucro na Venda;52500447.89;Capital
11.044.355/0001-07;2023-12-01;1;CDB;ZERAGEM DE CAIXA;1688054.26;Emissão de cotas
11.160.521/0001-22;2023-12-01;1;CRI - COMPANHIA BRASILEIRA DE DISTRIBUICAO;Aplicação em ativos-alvo do Fundo;80999137.29;Caixa do fundo
11.160.521/0001-22;2023-12-01;1;CRI - GAIA SECURITIZADORA S.A.;Aplicação em ativos-alvo do Fundo;78016441.89;Caixa do fundo
11.160.521/0001-22;2023-12-01;1;CRI - OPEA SECURITIZADORA S/A;Aplicação em ativos-alvo do Fundo;177813430.61;Caixa do fundo
11.160.521/0001-22;2023-12-01;1;CRI - RB CAPITAL SECURITIZADORA S.A.;Aplicação em ativos-alvo do Fundo;70256629.89;Caixa do fundo
11.160.521/0001-22;2023-12-01;1;CRI - TRUE  SECURITIZADORA S/A;Aplicação em ativos-alvo do Fundo;79881046.13;Caixa do fundo
11.160.521/0001-22;2023-12-01;1;CRI - VIRGO COMPANHIA SECURITIZADORA;Aplicação em ativos-alvo do Fundo;81380188.42;Caixa do fundo
11.326.746/0001-06;2023-12-01;1;PENTHOUSE;Beneficios futuros;5200000;Capital
11.326.746/0001-06;2023-12-01;1;FBV-PR PARTICIPACOES;Beneficios futuros;4797722.5;Capital
11.326.746/0001-06;2023-12-01;1;GJP BOSSA NOVA EMPREENDIMENTOS S.A;Beneficios futuros;14518533.87;Capital
11.664.201/0001-00;2023-12-01;1;TRUE SECURITIZADORA S.A SECURITIZADORA S.A 98ª Emissão 1ª Série;Renda;9000269.19;Capital
11.664.201/0001-00;2023-12-01;1;TRUE SECURITIZADORA S.A SECURITIZADORA S.A 98ª Emissão 1ª Série;Renda;11000329.02;Capital
11.664.201/0001-00;2023-12-01;1;TRAVESSIA SECURITIZADORA S.A. 14ª Emissão 2ª Série;Renda;19390000;Capital
11.664.201/0001-00;2023-12-01;1;Cotas de FII - MORE RECEBÍVEIS IMOBILIÁRIOS - MORC11  Emissão  Série;Renda;15000090.56;Capital
11.664.201/0001-00;2023-12-01;1;BARI SECURITIZADORA S.A.  19ª Emissão 1ª Série;Renda;14999452.6;Capital
11.664.201/0001-00;2023-12-01;1;OPEA SECURITIZADORA S.A. 1ª Emissão 542ª Série;Renda;10615237.86;Capital
11.664.201/0001-00;2023-12-01;1;Cotas de FII - QUASAR CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - QAMI11  Emissão  Série;Renda;79785.1;Capital
11.664.201/0001-00;2023-12-01;1;BARI SECURITIZADORA S.A.  1ª Emissão 105ª Série;Renda;5000029.42;Capital
11.664.201/0001-00;2023-12-01;1;Cotas de FII - VALORA HEDGE FUND - VGHF11  Emissão  Série;Renda;14529000.43256;Capital
11.664.201/0001-00;2023-12-01;1;VIRGO COMPANHIA DE SECURITIZACAO 4ª Emissão 204ª Série;Renda;5000337.94;Capital
11.664.201/0001-00;2023-12-01;1;VIRGO COMPANHIA DE SECURITIZACAO 4ª Emissão 206ª Série;Renda;5000437.44;Capital
11.664.201/0001-00;2023-12-01;1;Cotas de FII - VBI MULTIESTRATÉGIA FII - 40GOK11 1ª Emissão 1ª Série;Renda;20000000;Capital
11.664.201/0001-00;2023-12-01;1;HABITASEC SECURITIZADORA S.A.  17ª Emissão 1ª Série;Renda;58386556.27;Capital
11.664.201/0001-00;2023-12-01;1;VIRGO COMPANHIA DE SECURITIZACAO 4ª Emissão 93ª Série;Renda;20009210.8;Capital
