CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
34.197.727/0001-22;2020-06-01;2;191;385988;0.661117220069813;0.329530934739193;0.33158628533062;1;35963;0.0615971444329116;0;0.0615971444329116;1;61263;0.104930786068834;0;0.104930786068834;1;100628;0.172354849428441;0;0.172354849428441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.197.776/0001-65;2020-06-01;2;88;478196;0.573929783628342;0.328554145723215;0.245375637905127;3;155000;0.186030657852414;0;0.186030657852414;2;200000;0.240039558519244;0;0.240039558519244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.197.811/0001-46;2020-05-01;1;1095;445373;0.597;0.4835;0.1135;2;100000;0.134;0.067;0.067;0;0;0;0;0;0;0;0;0;0;1;200638;0.2689;0;0.2689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.197.811/0001-46;2020-06-01;2;1267;445373;0.597005942271629;0.50151405274185;0.0954918895297791;2;100000;0.134046280818916;0.0670231404094578;0.0670231404094578;0;0;0;0;0;0;0;0;0;0;1;200638;0.268947776909456;0;0.268947776909456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.471.719/0001-22;2020-12-01;1;8;961.2125874;0.1232;0.1232;0;2;902.12098264;0.1156;0.1156;0;;;;;;;;;;;;;;;;;;;;;;;;;;1;5939.19405817;0.7612;0.7612;0
34.508.872/0001-87;2020-12-01;1;2078;336321;0.445612;0.372303;0.073348;1;60000;0.079498;0.079498;0;1;97001;0.128522;0.128522;0;0;0;0;0;0;0;0;0;0;0;1;261418;0.346368;0;0.346369;0;0;0;0;0;0;0;0;0;0
34.508.923/0001-70;2020-12-01;1;51;27745;0.418982;0.381995;0.036998;4;21340;0.322259;0.322259;0;2;17135;0.258759;0.121338;0.137421;;;;;;;;;;;;;;;;;;;;;;;;;
34.509.007/0001-55;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;641025.7858;1;0;1
34.547.078/0001-42;2020-12-01;1;3;409.34499019;0.0468;0.0468;;2;970.89077252;0.1108;;0.1108;;;;;;;;;;;;;;;;;;;;;;;;;;1;7375.29738482;0.8424;;0.8424
34.598.181/0001-11;2020-12-01;1;8006;2016081;0.7377;0.7426;0.2574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;716779;0.2623;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.691.925/0001-48;2020-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;165392;1;0;1
34.693.040/0001-88;2020-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;151028;1;0;1
34.736.432/0001-87;2020-12-01;3;106;48402;0.32268;0.28958;0.0331;5;55916;0.37277333;;0.37277333;3;45682;0.30454666;;0.30454666;;;;;;;;;;;;;;;;;;;;;;;;;
34.736.474/0001-18;2020-06-01;1;105;723500;0.8572;0.3386;0.5186;2;120550;0.1428;0;0.1428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34.736.510/0001-43;2020-12-01;1;1;27600;0.05;0.05;0;1;38640;0.07;0.07;0;;;;;;;;;;;4;485760;0.88;0.88;0;;;;;;;;;;;;;;;
34.835.191/0001-23;2020-06-01;1;4158;295661;0.3285;0.9995;0.0005;3;176488;0.196;0.6666;0.3334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;427851;0.4753;0;1;0;0;0;0;0
34.847.063/0001-08;2020-12-01;1;51;171553;0.4673;0.3458;0.1215;1;20912;0.057;0.057;;4;174659;0.4757;0.1032;0.3725;;;;;;;;;;;;;;;;;;;;;;;;;
34.895.711/0001-93;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;2;6983.35;0.5158;0;0.5158;;;;;;1;6556.6;0.4842;0;0.4842;;;;;
34.895.894/0001-47;2020-12-01;1;44;2025;0.79163408;0.79163408;0;1;152;0.05942142;0.05942142;0;1;381;0.14894448;0;0.14894448;;;;;;;;;;;;;;;;;;;;;;;;;
35.360.651/0001-77;2020-12-01;1;4;622.00000041;0.1604;0.1604;0;1;289.99999552;0.0748;0.0748;0;;;;;;;;;;;1;1027.00000307;0.2648;0.2648;0;;;;;;1;1542456.6;0.5;0;0.5;;;;;
35.434.880/0001-99;2020-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;13072.2935;1;0;1
