CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
52.551.605/0001-74;2024-06-30;1;ARMAZEM B 04;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Armazém B Unid. 04;1715.25;1;Matrícula 11.545 113.404 113.408 113.411;0.0492680766037148;Renda
52.551.605/0001-74;2024-06-30;1;ARMAZEM B 05;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Armazém B Unid. 05;1715.25;1;Matrícula 11.545 113.404 113.408 113.411;0.0492680766037148;Renda
52.551.605/0001-74;2024-06-30;1;ARMAZEM B 06;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Armazém B Unid. 06;1715.25;1;Matrícula 11.545 113.404 113.408 113.411;0.0492680766037148;Renda
52.551.605/0001-74;2024-06-30;1;ARMAZEM B 07;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Armazém B Unid. 07;1715.25;1;Matrícula 11.545 113.404 113.408 113.411;0.0492680766037148;Renda
52.551.605/0001-74;2024-06-30;1;ARMAZEM B 08;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Armazém B Unid. 08;1715.25;1;Matrícula 11.545 113.404 113.408 113.411;0.0492680767068576;Renda
52.551.605/0001-74;2024-06-30;1;ED. ESCRITOR;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edifício de Escritórios;2203.86;1;Matrícula 31512;0.0887491841620165;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.A AGUIA;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. A - AGUIA Unid. 01 a 03;8030.28;1;Matrícula 101105;0.167440841526867;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.C GEM A;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. C - Geminni Unid. 07 - A;8037.6;1;Matrícula 133478;0.20308698890488;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.C GEM B;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. C - Geminni Unid. 07 - B;2696.06;1;Matrícula 133478;0.0681216666038136;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.F TO 17;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. F - Topázio Unid. 17;2759.71;1;Matrícula 91322;0.0526592163538224;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.F TO 18;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. F - Topázio Unid. 18;2791.91;1;Matrícula 9132;0.0532736383766194;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.F TO 19;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. F - Topázio Unid. 19;2781.35;1;Matrícula 91324;0.0530721384834289;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.I MO 29;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. I - Monet Unid. 29;736.18;1;Matrícula 105603;0.014044200121084;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.I MO 30;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. I - Monet Unid. 30;762.02;1;Matrícula 105604;0.0138503740567496;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.L CAM A;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. L - Camões Unid. 40 - A;1031.41;1;Matrícula 106948;0.0196806841445009;Renda
52.551.605/0001-74;2024-06-30;1;EDIF.L CAM B;Avenida Tégula, 888, Ponte Alta. Atibaia - SP. Edif. L - Camões Unid. 40 - B;1031.41;1;Matrícula 106948;0.0196806841445009;Renda
52.589.406/0001-55;2024-03-28;2;GALPÃO LOGÍSTICO;Guarulhos - SP;1;1;Matrículas nº 119.123, 119.124 e 119.125;1;Renda
52.713.882/0001-36;2024-06-30;2;Shopping Jardim Sul;Av. Giovanni Gronchi, 5819, Morumbi, São Paulo/SP;28739.03;173;Direito de Propriedade;1;Renda
52.904.581/0001-90;2024-03-28;2;IMOVEL SP;Lote sob no 05 da Quadra H-2 - ALPHAVILLE CAMPINA;238;;sem informações relevantes;0.6579;Venda
52.904.581/0001-90;2024-03-28;2;IMOVEL RJ;AV. EPITÁCIO PESSOA, Nº 4.180, BL. 02, APT.101;925.39;;sem informações relevantes;0.3421;Venda
52.904.581/0001-90;2024-06-28;2;IMOVEL SP;Lote sob no 05 da Quadra H-2 - ALPHAVILLE CAMPINA;238;;sem informações relevantes;0.6579;Venda
52.904.581/0001-90;2024-06-28;2;IMOVEL RJ;AV. EPITÁCIO PESSOA, Nº 4.180, BL. 02, APT.101;925.39;;sem informações relevantes;0.3421;Venda
53.076.746/0001-45;2024-03-31;2;LOTEAMENTO BONFIM BR-101;RIO GRANDE DO NORTE;50910.27;1;Imóvel urbano;0.4001;Renda
53.178.634/0001-03;2024-06-30;1;15555_21050;Rua Caçapava, 76, Jardim Paulista. São Paulo - SP;195.97;1;n/a;0.334086860032635;Venda
53.178.634/0001-03;2024-06-30;1;3140-51_5;Alameda Casa Branca, 1025, Jardim Paulista. São Paulo - SP.;199.4;1;n/a;0.292893803345109;Venda
53.178.634/0001-03;2024-06-30;1;3140_62;Alameda Santos, 2359, Jardim Paulista. São Paulo - SP.;192.32;1;n/a;0.373019336622256;Venda
53.372.824/0001-59;2024-03-30;1;IMÓVEL SALVADOR -;Rodovia BR-324, 13750, GL, Palestina;151000;1;MATRICULA 15040;1;Venda
53.466.467/0001-98;2024-06-30;1;Centro Logístico e Industrial Salto;Rodovia Engenheiro Ermínio de Oliveira Penteado, SP-073, Salto - SP;31400;21;Centro Logístico Industrial Salto com 31.400,00m2 de área construída.;0.949731;Renda
53.645.729/0001-81;2024-03-31;1;Hesa 156;Rua Otto Boehm - Joinville -SC;1633.7;10;na;0;Venda
53.645.729/0001-81;2024-03-31;1;Hesa 150;Rua Funchal, nº 65, Vila Olímpia, São Paulo/SP;658.7;10;na;0;Venda
53.645.729/0001-81;2024-03-31;1;Hesa 186;Rua Enxovia - Vila São Francisco - São Paulo;1547.77;38;na;0;Venda
53.656.482/0001-07;2024-03-31;1;Cidade Jardim;Avenida Cidade Jardim, nº 803, Jardim Paulistano, Cidade de São Paulo, Estado de São Paulo, CEP 01453-000;7458.17;10;Reajuste anual por indexador de inflação (IGPM ou IPC-A), aviso prévio e multa promocional ao período de cumprimento do contrato, direito de preferência e multa caso haja descumprimento do contrato.;0.294648;Renda
53.656.482/0001-07;2024-03-31;1;Paulista;Avenida Paulista, n.º 1.374, Bela Vista, Cidade de São Paulo, Estado de São Paulo, CEP 01310-100;10878.86;19;Reajuste anual por indexador de inflação (IGPM ou IPC-A), aviso prévio e multa promocional ao período de cumprimento do contrato, direito de preferência e multa caso haja descumprimento do contrato.;0.210951;Renda
53.656.482/0001-07;2024-03-31;1;Transatlantico;Rua Verbo Divino, nº 1.488 e Rua José Guerra, nº 130, Chácara Santo Antônio, 29º Subdistrito - Santo Amaro, Cidade de São Paulo, Estado de São Paulo, CEP 04719-904;4564.8;8;Reajuste anual por indexador de inflação (IGPM ou IPC-A), aviso prévio e multa promocional ao período de cumprimento do contrato, direito de preferência e multa caso haja descumprimento do contrato.;0.027841;Renda
53.656.482/0001-07;2024-03-31;1;Volkswagem;Rua Volkswagen, n.º 291, Jabaquara, Cidade de São Paulo, Estado de São Paulo, CEP 04344-020;12560;10;Reajuste anual por indexador de inflação (IGPM ou IPC-A), aviso prévio e multa promocional ao período de cumprimento do contrato, direito de preferência e multa caso haja descumprimento do contrato.;0.163337;Renda
53.656.482/0001-07;2024-03-31;1;Burity;Avenida Indianópolis, n.º 3.096, Indianópolis, Cidade de São Paulo, Estado de São Paulo, CEP 04062-003;10550;15;Reajuste anual por indexador de inflação (IGPM ou IPC-A), aviso prévio e multa promocional ao período de cumprimento do contrato, direito de preferência e multa caso haja descumprimento do contrato.;0.134685;Renda
54.088.529/0001-38;2024-06-30;1;TAUBATE IMOV;Av. Charles Schenneider, 2.222. Parque Senhor Bonfim. Taubaté - SP.;704532.17;1;132.334,48 m2 de construção (galpão), Matricula n. 167.962 RGI Taubaté;1;Venda
54.419.040/0001-00;2024-06-30;1;DAMHA 6J;Rua Irere 251  lote 6 Quadra J - Parque Residencial Damha - Araraquada SP;436.5;1;MATRICULA 101.863;1;Renda
54.557.596/0001-54;2024-06-30;1;BM 336;Avenida Bartolomeu Mitre, 336, Sem Complemento, Leblon, Rio De Janeiro/RJ, Brasil, 22431-002;6830.66;1;Não possui caracteristicas que destoem dos demais;0.96120286673386;Renda
55.314.271/0001-03;2024-06-30;1;Imovel Santo Andre - Hospital Next;Avenida Dom Pedro Ii, 665, Sem Complemento, Jardim, Santo Andre/SP, Brasil, 09080-110;10000;1;Não possui caracteristicas que destoem dos demais;0.51730675281991;Renda
56.524.816/0001-79;2024-09-30;1;GALPÃO;GUARULHOS;58000;0;0;1;Renda
