CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2023-12-01;1;3977;898867;0.3210068;0.1604425;0.1605643;2;422396;0.1508477;0;0.1508477;2;705298;0.2518787;0;0.2518787;;;;;;1;773588;0.276266727234872;0;0.276266727234872;;;;;;;;;;;;;;;
00.613.094/0001-74;2023-12-01;1;642;180800;0.2385;0.3362;0.6638;1;54168;0.0714;0;1;2;193496;0.2551;0;1;1;121738;0.1605;0;1;1;208198;0.2745;0;1;;;;;;;;;;;;;;;
00.762.723/0001-28;2023-12-01;2;2766;643082;0.18869;0.14569;0.043;1;186465;0.05471;0;0.05471;1;454425;0.1333;;0.1333;;;;;;;;;;;;;;;;;;;;;1;2124202;0.62327;0;0.62327
00.868.235/0001-08;2023-12-01;1;3;4142;0.07626;0.03866;0.03759;2;6056;0.1115;0;0.1115;1;7042;0.129648722291774;0;0.129648722291774;;;;;;;;;;;;;;;;;;;;;1;37076;0.6826;0;0.6826
01.201.140/0001-90;2023-12-01;1;17200;1349450;0.28656;0.25855;0.02801;2;842927;0.179;0.179;0;1;664019;0.141008;0;0.141008;2;1852686;0.393428;0;0.393428;;;;;;;;;;;;;;;;;;;;
01.235.622/0001-61;2023-12-01;1;105;97684;0.0957;0.0234;0.0723;5;355304;0.3478;0;0.3478;;;;;;1;179605;0.1758;0;0.1758;;;;;;1;388919;0.3807;0;0.3807;;;;;;;;;;
01.497.954/0001-14;2023-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2023-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;500000;1;0;1
01.633.741/0001-72;2023-12-01;1;258;91087;0.179302;0.043472;0.135831;1;44563;0.087721;;0.087721;;;;;;1;89812;0.176792;;0.176792;;;;;;;;;;;;;;;;1;282546;0.556184;;0.556184
01.636.325/0001-28;2023-12-01;1;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;;0;0;0;0;
01.657.856/0001-05;2023-12-01;1;5031;2394684;0.5702;0.5702;;4;1317316;0.3136;0.1755;0.1381;1;488000;0.1162;;0.1162;;;;;;;;;;;;;;;;;;;;;;;;;
01.964.775/0001-40;2023-12-01;1;;;;;;1;744200;0.0591;0;0.0591;;;;;;5;11838800;0.9408;0;0.9408;;;;;;;;;;;;;;;;;;;;
02.027.437/0001-44;2023-12-01;2;7;5297;0.036545;0.036545;0;2;28529;0.1967;0.1967;0;2;38674;0.266713;0.116713;0.15;;;;;;;;;;;;;;;;;;;;;1;72500;0.5;0;0.5
