CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2017-12-01;1;65;79101;0.0298;0.0005;0.0293;1;169672;0.064;0;0.064;;;;;;1;437541;0.1651;0;0.1651;;;;;;2;1964089;0.7411;0;0.7411;;;;;;;;;;
00.613.094/0001-74;2017-12-01;1;161;80716;0.1064;0.3368;0.6632;1;54168;0.0714;0;1;1;88986;0.1174;0;1;1;121738;0.1605;0;1;1;176960;0.2333;0;1;1;235832;0.311;0;1;;;;;;;;;;
00.762.723/0001-28;2017-12-01;1;1486;6426671;0.1769;0.1769;0;2;4966826;0.1368;0;0.1368;;;;;;1;6361951;0.1752;0;0.1752;;;;;;;;;;;;;;;;1;18564458;0.5111;0;0.5111
00.868.235/0001-08;2017-12-01;1;3;2100;0.0387;1;0;2;6056;0.1115;0;1;;;;;;1;9084;0.167243537815745;0;1;;;;;;;;;;;;;;;;1;37076;0.6826;0;1
01.201.140/0001-90;2017-12-01;1;2707;12344048;0.202297884607238;0.136678287878898;0.0656195967283394;3;11201364;0.183571243559298;0.0761801476634431;0.107391095895855;;;;;;;;;;;;;;;;;;;;;;;;;;1;37473753;0.614130871833464;0;0.614130871833464
01.235.622/0001-61;2017-12-01;3;47;77774;0.1124;0.0115;0.1009;5;269320;0.389;0;0.389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;345163;0.4986;0;0.49861;0;0;0;0;0
01.497.954/0001-14;2017-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2017-12-01;1;3;3150;0.0063;0;0.0063;2;71680;0.1434;0;0.1434;;;;;;1;100000;0.2;0;0.2;1;131798;0.2636;0;0.2636;1;193372;0.3867;0;0.3867;;;;;;;;;;
01.633.741/0001-72;2017-12-01;1;268;72467;0.14265;0.062897;0.079753;1;44563;0.087721;;0.087721;2;105020;0.206729;;0.206729;2;181789;0.357847;;0.357847;1;104169;0.205054;;0.205054;;;;;;;;;;;;;;;
01.636.325/0001-28;2017-12-01;1;;;;;;;;;;;1;25000;0.107016882983459;;0.107016882983459;;;;;;1;52091;0.222984658059655;;0.222984658059655;2;156517;0.669998458956885;;0.669998458956885;;;;;;;;;;
