CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
20.118.507/0001-51;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2183.69258088;0.5;;1;;;;;
20.216.935/0001-17;2016-12-31;1;360;720115;0.878;0.865;0.013;2;100000;0.122;0.061;0.061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.265.434/0001-20;2016-12-01;1;804;1184427.8296607;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.265.467/0001-70;2016-12-01;1;0.39;100.03;0.0007;1;0;11;132450.55;0.9993;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.680.775/0001-62;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;879535;1;0;1
20.716.161/0001-93;2016-12-01;1;14;393000;0.3797;0;1;3;237000;0.229;0;1;2;225000;0.2174;0;1;1;180000;0.1739;0;1;;;;;;;;;;;;;;;;;;;;
20.717.355/0001-03;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;66817.5405;1;0;1
20.787.427/0001-99;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;20300;1;0;1
20.834.884/0001-97;2016-12-31;1;48;46861;0.551;0.9376;0.0624;6;38192;0.449;0.8126;0.1874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.044.600/0001-21;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;188758879;1;;1
21.126.204/0001-43;2016-12-01;1;60;63038;0.1008;0.1008;0;9;562502;0.8992;0.8992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.398.200/0001-14;2016-12-01;1;1;19649.8217;0.0407;;0.0407;;;;;;1;57930.9901;0.1202;;0.1202;;;;;;1;127185;0.2636;;0.2636;;;;;;;;;;;1;277637.8162;0.5755;;0.5755
21.408.063/0001-51;2016-12-01;1;;;;;;;;;;;5;129140.6;0.6342;0;0;;;;;;1;74493.5145;0.3658;0;0;;;;;;;;;;;;;;;
21.500.481/0001-74;2016-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;650000;1;0;1
