CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2022-12-01;1;3925;888833;0.317423;0.475746;0.524254;2;429620;0.153428;0;1;2;705298;0.251879;0;1;;;;;;1;776398;0.27727;0;1;;;;;;;;;;;;;;;
00.613.094/0001-74;2022-12-01;1;489;99212;0.1308;0.5109;0.4891;1;54168;0.0714;0;1;1;88986;0.1174;0;1;1;121738;0.1605;0;1;2;394296;0.5199;0;1;;;;;;;;;;;;;;;
00.762.723/0001-28;2022-12-01;1;3226;642851;0.2214611;0.170856;0.0506051;1;186465;0.0642368742705249;0;0.0642368742705249;;;;;;1;454425;0.156548636958053;0;0.156548636958053;;;;;;;;;;;;;;;;1;1619031;0.557753;0;0.557753
00.868.235/0001-08;2022-12-01;1;3;2100;0.0387;0.0387;0;2;6056;0.1115;0;0.1115;;;;;;1;9084;0.1672;0;0.1672;;;;;;;;;;;;;;;;1;37076;0.6826;0;0.6826
01.201.140/0001-90;2022-12-01;1;19479;1356439;0.288047;0.275688;0.01236;2;835938;0.177516;0.177516;0;1;664019;0.141008;0;0.141008;2;1852686;0.393428;0;0.393428;;;;;;;;;;;;;;;;;;;;
01.235.622/0001-61;2022-12-01;1;50;97799;0.1029;0.0232;0.0796;5;333912;0.3516;0;0.3516;;;;;;1;166149;0.1749;0;0.1749;;;;;;1;351962;0.3706;0;0.3706;;;;;;;;;;
01.497.954/0001-14;2022-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2022-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;500000;1;0;1
01.633.741/0001-72;2022-12-01;1;277;99334;0.195553;0.046286;0.149267;1;44563;0.087721;;0.087721;;;;;;1;91389;0.179897;;0.179897;;;;;;;;;;;;;;;;1;272722;0.536846;;0.536846
01.636.325/0001-28;2022-12-01;1;;;;;;;;;;;1;25138;0.107;;0.107;;;;;;1;52379;0.223;;0.223;2;157383;0.67;;0.67;;;;;;;;;;
01.657.856/0001-05;2022-12-01;1;5002;2394684;0.5702;0.5702;;4;1317316;0.3137;0.1755;0.1382;1;488000;0.1161;;0.1161;;;;;;;;;;;;;;;;;;;;;;;;;
01.964.775/0001-40;2022-12-01;1;;;;;;1;744200;0.0591;0;0.0591;;;;;;5;11838800;0.9408;0;0.9408;;;;;;;;;;;;;;;;;;;;
02.027.437/0001-44;2022-12-01;1;7;5204;0.036545;0.036545;0;2;28016;0.196742;0.196742;0;2;37980;0.266713;0.116713;0.15;;;;;;;;;;;;;;;;;;;;;1;71200;0.5;0;0.5
02.508.235/0001-14;2022-12-01;1;3;1404;0.082105;1;0;;;;;;1;2466;0.1442105;1;0;;;;;;;;;;;;;;;;;;;;;1;13230;0.773684;1;0
03.251.720/0001-18;2022-12-01;1;905;239968;0.319953;0.299406;0.020547;3;164473;0.219298;0.066667;0.152631;2;195559;0.260746;;0.260746;1;150000;0.2;;0.2;;;;;;;;;;;;;;;;;;;;
03.507.519/0001-59;2022-12-01;1;2631;608950;1;0.948603;0.051397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.683.056/0001-86;2022-12-01;1;30585;3323061;0.9004;0.541;0.3594;1;367634;0.0996;0;0.0996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.855.441/0001-63;2022-12-01;1;1;1219857;0.00845885450868296;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;142990804;0.991541145491317;0;1
04.066.582/0001-60;2022-12-01;2;3066;200000;1;0.96679;0.03321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.141.645/0001-03;2022-12-01;1;17201;1140140;0.8258;0.804;0.0218;1;87814;0.0636;0.0636;;1;152716;0.1106;;0.1106;;;;;;;;;;;;;;;;;;;;;;;;;
04.644.612/0001-78;2022-12-01;1;1;1306216.48;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.722.883/0001-02;2022-12-01;1;719;645615;0.164046456389202;0.101866518682719;0.0621799377064826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3289947;0.835953543610798;0;0.835953543610798
04.782.236/0001-88;2022-12-01;1;;;;;;;;;;;;;;;;1;650379;0.173181;;0.1732;;;;;;;;;;;;;;;;1;3105105;0.826819;;0.8268
05.437.916/0001-27;2022-12-01;1;2560;271082;0.706093;0.702136;0.003957;3;112854;0.29394;0.29394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.562.312/0001-02;2022-12-01;1;2803;73651;0.702776717557252;0.648206106870229;0.0545706106870229;2;17560;0.167557251908397;0.167557251908397;0;1;13589;0.129666030534351;0.129666030534351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.175.262/0001-73;2022-12-01;1;546;158108;0.6699;0.9901;0.0099;1;15360;0.0651;1;0;0;0;0;0;0;0;0;0;0;0;1;62532;0.265;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.000.400/0001-46;2022-12-01;1;8495;130000;1;0.976638461538462;0.0233615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.122.725/0001-00;2022-12-01;1;2597;73753;0.663383613517184;0.484200868884751;0.179182744632433;3;20391;0.183410237729027;0.0526817597164881;0.130728478012539;0;0;0;0;0;1;17033;0.153206148753789;0;0.153206148753789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
