CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2018-12-01;1;190;87903;0.032;0.0037;0.0282;1;169672;0.0617;0;0.0617;;;;;;1;446742;0.1625;0;0.1625;;;;;;2;2044891;0.7438;0;0.7438;;;;;;;;;;
00.613.094/0001-74;2018-12-01;1;222;82136;0.1083;0.3481;0.6519;1;54168;0.0714;0;1;1;88986;0.1174;0;1;1;121738;0.1606;0;1;1;176960;0.2333;0;1;1;234412;0.309;0;1;;;;;;;;;;
00.762.723/0001-28;2018-12-01;1;4124;6426671;0.1769;0.1769;0;2;4966826;0.1368;0;0.1368;;;;;;1;6361951;0.1752;0;0.1752;;;;;;;;;;;;;;;;1;18564458;0.5111;0;0.5111
00.868.235/0001-08;2018-12-01;1;3;2100;0.0387;1;0;2;6056;0.1115;0;1;;;;;;1;9084;0.167243537815745;0;1;;;;;;;;;;;;;;;;1;37076;0.6826;0;1
01.201.140/0001-90;2018-12-01;1;17366;12344048;0.202298;0.19594;0.006358;3;11201364;0.183571;0.07618;0.107391;;;;;;;;;;;;;;;;;;;;;;;;;;1;37473753;0.614131;0;0.614131
01.235.622/0001-61;2018-12-01;2;51;120035;0.1593;0.0156;0.1437;5;279966;0.3716;0;0.3716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;353396;0.4691;0;0.4691;0;0;0;0;0
01.497.954/0001-14;2018-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2018-12-01;1;3;3150;0.0063;0;0.0063;2;71680;0.1434;0;0.1434;;;;;;1;100000;0.2;0;0.2;1;131798;0.2636;0;0.2636;1;193372;0.3867;0;0.3867;;;;;;;;;;
01.633.741/0001-72;2018-12-01;1;264;78728;0.154974;0.073424;0.08155;2;89886;0.176938;;0.176938;1;52361;0.103071;;0.103071;2;182864;0.359963;;0.359963;1;104169;0.205054;;0.205054;;;;;;;;;;;;;;;
01.636.325/0001-28;2018-12-01;1;;;;;;;;;;;1;25000;0.107016882983459;;0.107016882983459;;;;;;1;52091;0.222984658059655;;0.222984658059655;2;156517;0.669998458956885;;0.669998458956885;;;;;;;;;;
01.657.856/0001-05;2018-12-01;1;830;2164321;0.5153;0.3607;0;6;2035679;0.4847;0.4847;0.1546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.027.437/0001-44;2018-12-01;1;7;5115;0.0364;0.0664;0;2;27545;0.1968;0.1968;0;2;37340;0.2667;0.1167;0.15;;;;;;;;;;;;;;;;1;70000;0.5;0;0.5;;;;;
02.508.235/0001-14;2018-12-01;1;2;890;0.052;0.052;;3;4240;0.248;0.1743;0.0737;1;11970;0.7;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;
03.251.720/0001-18;2018-12-01;1;932;196361;0.259044;0.216426;0.042618;5;293954;0.393409;0.158353;0.235056;1;109685;0.146795;;0.146795;;;;;;1;150000;0.200751;;0.200751;;;;;;;;;;;;;;;
03.507.519/0001-59;2018-12-01;1;2149;608950;1;0.926;0.074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.683.056/0001-86;2018-12-01;1;6425;2170000;1;0.803565;0.196435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.855.441/0001-63;2018-12-01;1;1;1219857;0.00845885450868296;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;142990804;0.991541145491317;0;1
04.066.582/0001-60;2018-12-01;1;1833;200000;1;0.959;0.041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.141.645/0001-03;2018-12-01;1;8762;56959214;0.8251;0.8111;0.014;1;4390722;0.0636;0.0636;;1;7683564;0.1113;;0.1113;;;;;;;;;;;;;;;;;;;;;;;;;
04.722.883/0001-02;2018-12-01;1;665;645615;0.164;0.1304;0.0337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3289947;0.836;0;0.836
04.782.236/0001-88;2018-12-01;1;1;36036;0.0126;;0.0126;;;;;;1;290379;0.1017;;0.1017;;;;;;;;;;;;;;;;;;;;;1;2529069;0.8857;;0.8857
05.437.916/0001-27;2018-12-01;1;1278;247375;0.644313;0.59244;0.051873;4;97541;0.254055;0.148051;0.106005;1;39020;0.101632;;0.101632;;;;;;;;;;;;;;;;;;;;;;;;;
05.562.312/0001-02;2018-12-01;1;2901;74643;0.7122;0.6903;0.0219;3;30157;0.2878;0.2878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.175.262/0001-73;2018-12-01;1;503;220640;0.934915;0.957378;0.042621;1;15360;0.065085;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.000.400/0001-46;2018-12-01;1;4893;123326;0.94866;0.915623;0.03303;1;6674;0.05134;0.05134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.122.725/0001-00;2018-12-01;1;4433;97641;0.878248198818125;0.716730978529756;0.161517220288369;;;;;;1;13536;0.121751801181899;0;0.121751801181899;;;;;;;;;;;;;;;;;;;;;;;;;
07.224.019/0001-60;2018-12-01;1;0;0;0;0;0;0;0;0;0;0;1;203.134;0.1239;0;0.1239;1;290.525;0.1772;0;0.1772;1;425.759;0.2761;0;0.2761;0;0;0;0;0;1;693.319;0.4228;0;0.4228;0;0;0;0;0
07.352.632/0001-63;2018-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;40000;1;0;1
07.583.627/0001-61;2018-12-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;224952;1;0;1
07.789.135/0001-27;2018-12-01;1;56;57305;0.127030256277252;0.127023606058792;6.6502184596764E-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;393808;0.872969743722748;0;0
