CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2018-12-01;2;Rua Ministro Raul Fernandes, Lote nº 4 do PAL 27.387;Incorporação residencial;3900500;Recursos próprios
01.235.622/0001-61;2018-12-01;2;Gleba G-03, situada no perímetro do Distrito Federal - DF;Incorporação residencial;124926269.82;Recursos próprios
01.235.622/0001-61;2018-12-01;2;Rua Uruguai, 330, Tijuca, Rio de Janeiro - RJ;Incorporação residencial;26093931.54;Recursos próprios
01.235.622/0001-61;2018-12-01;2;Confluências das Ruas Guarda Mor Custódio, Dr. Sinzenandro de Barros e Av. Daniel Jardim de Grisolia, Itabira - MG;Built to Suit;6271366.98;Recursos próprios
01.235.622/0001-61;2018-12-01;2;Av. Santos Dumont, Quadra 64 - Lote 1B, Bairro Santos Dumont, Itumbiara - GO;Built to Suit;2971677.7;Recursos próprios
01.235.622/0001-61;2018-12-01;2;Rua Caetano Tunholi, 60, Enseada do Sua, Vitoria - ES;Incorporação residencial;33458777.04;Recursos próprios
01.235.622/0001-61;2018-12-01;2;Rua das Marrecas, 11, Centro;Incorporação residencial;5060821.6;Recursos próprios
01.601.918/0001-59;2018-12-01;1;Não houve aquisições no período;Não houve aquisições no período;0;Não houve aquisições no período
02.508.235/0001-14;2018-12-01;1;Não houve aquisições no período;Não houve aquisições no período;0,00;Não houve aquisições no período
03.683.056/0001-86;2018-12-01;1;Ed Morumbi Park;Renda de Aluguéis;87292803.3;6º Emisão de Cotas
07.224.019/0001-60;2018-12-01;1;Aquisição loja C&A;Obtenção de Renda Imobiliária;13090000;Capitação aprovada em AGE 08.10.18
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2018-12-01;1;N/A;N/A;0;N/A
08.696.175/0001-97;2018-06-01;1;n/a;n/a;n/a;n/a
08.706.065/0001-69;2018-12-01;1;Estanplaza Berrini (ap. 905);Lucro na Venda;215000;Capital
08.706.065/0001-69;2018-12-01;1;Estanplaza International (ap. 908);Lucro na Venda;215000;Capital
08.706.065/0001-69;2018-12-01;1;Estanplaza International (ap. 905);Lucro na Venda;215000;Capital
08.924.783/0001-01;2018-12-01;3;Cotas do FII Prime Portfolio;Renda;9251378;Capital
09.072.017/0001-29;2018-12-01;1;CRI - HABITASEC SECURITIZADORA S.A.;Melhor alocação de caixa visando maximizar a rentabilidade ao cotista;1978236.77;Caixa do fundo
09.072.017/0001-29;2018-12-01;1;MARIO GARNERO (Conjunto 161);Aplicação em ativo alvo do Fundo;7000000;Caixa do fundo
09.072.017/0001-29;2018-12-01;1;BERRINI ONE;Aplicação em ativo alvo do Fundo;132649640.79;Caixa do fundo
09.350.920/0001-04;2018-12-01;1;Não houve aquisições no período;Não houve aquisições no período;0;Não houve aquisições no período
09.552.812/0001-14;2018-12-01;1;CRI 18C0043043;Lucro na Venda;6350584.21;Capital
09.552.812/0001-14;2018-12-01;1;CRI 18E0913223;Lucro na Venda;12000340.59;Capital
09.552.812/0001-14;2018-12-01;1;CRI 17D0073654;Lucro na Venda;10577249.87;Capital
10.347.505/0001-80;2018-12-01;1;JCC 17L0956424;Auferir receita por meio da variação do papel;15000000;Disponibilidades
10.347.505/0001-80;2018-12-01;1;BR Properties II 18B0898471;Auferir receita por meio da variação do papel;6700000;Disponibilidades
10.347.505/0001-80;2018-12-01;1;Cyrela 2 18F0924515;Auferir receita por meio da variação do papel;17040719.25;Disponibilidades
10.347.505/0001-80;2018-12-01;1;GLP 18F0879293;Auferir receita por meio da variação do papel;10000000;Disponibilidades
10.347.505/0001-80;2018-12-01;1;Even 18I0295771;Auferir receita por meio da variação do papel;5000000;Disponibilidades
10.347.505/0001-80;2018-12-01;1;Pátio Cianê 18L1210133;Auferir receita por meio da variação do papel;19000000;Disponibilidades
10.347.505/0001-80;2018-12-01;1;LOG 18L1179520;Auferir receita por meio da variação do papel;1000000;Disponibilidades
10.348.185/0001-83;2018-12-01;1;JCC 17L0956424;Auferir receita por meio da variação do papel;30000000;Disponibilidades
10.348.185/0001-83;2018-12-01;1;BR Properties II 18B0898471;Auferir receita por meio da variação do papel;2300000;Disponibilidades
10.348.185/0001-83;2018-12-01;1;Cyrela 2 18F0924515;Auferir receita por meio da variação do papel;37110899.7;Disponibilidades
10.348.185/0001-83;2018-12-01;1;GLP 18F0879293;Auferir receita por meio da variação do papel;44300000;Disponibilidades
10.348.185/0001-83;2018-12-01;1;Even 18I0295771;Auferir receita por meio da variação do papel;55000000;Disponibilidades
10.348.185/0001-83;2018-12-01;1;Pátio Cianê 18L1210133;Auferir receita por meio da variação do papel;20000000;Disponibilidades
10.348.185/0001-83;2018-12-01;1;LOG 18L1179520;Auferir receita por meio da variação do papel;4000000;Disponibilidades
10.410.463/0001-85;2018-12-01;1;ASIA INVESTIMENTOS EM SHOPPING CENTERS S.A.;Participação;58377037.51;Fluxo de Caixa
10.410.463/0001-85;2018-12-01;1;MANCHESTER PATRIMONIAL S.A.;Participação;641872.66;Fluxo de Caixa
10.410.463/0001-85;2018-12-01;1;LFT;Gestão da Liquidez do Fundo;19757.78;Fluxo de Caixa
10.456.799/0001-89;2018-12-01;1;Loja 1 - Dr. Nilo Peçanha, 3349 Matricula 174.858;Aquisição para venda;78000;Recursos próprios
10.456.799/0001-89;2018-12-01;1;Loja 2 - Dr. Nilo Peçanha, 3351 Matricula 174.859;Aquisição para venda;72000;Recursos próprios
