CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2020-12-01;1;Terreno Green Village (Espírito Santo);Incorporação residencial;5300000;Recursos Próprios
01.235.622/0001-61;2020-12-01;1;Terreno R. Lineu de Paula Machado (Rio de Janeiro);Incorporação residencial;11400000;Recursos Próprios
02.508.235/0001-14;2020-12-01;1;Não houve aquisições no período;Não houve aquisições no período;0,00;Não houve aquisições no período
03.683.056/0001-86;2020-12-01;1;Edifício Alameda Santos 1800;Imóvel em construção para renda;71315000;Recursos próprios / emissão de cotas
03.683.056/0001-86;2020-12-01;1;Edifício Condomínio Continental Square Faria Lima;.;0;.
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
07.583.627/0001-61;2020-12-01;1;N/A;N/A;0;N/A
08.098.114/0001-28;2020-06-01;1;N/A;N/A;N/A;N/A
08.431.747/0001-06;2020-12-01;2;Shopping Villa Lobos - 15%;Renda;147036301.55;Patrimônio
08.431.747/0001-06;2020-12-01;2;Franca Shopping - 0,37%;Renda;768826.59;Patrimônio
08.693.497/0001-82;2020-12-01;1;BRADES EMPRE;Liquidez;11407631.22;Caixa
08.693.497/0001-82;2020-12-01;1;BRADES EXTRA;Liquidez;568024.21;Caixa
08.693.497/0001-82;2020-12-01;1;FII QUINTAS;Aumento de renda;3599955.38;Caixa
08.924.783/0001-01;2020-12-01;1;FII Prime Offices I;Renda;80000000.23;Capital
08.924.783/0001-01;2020-12-01;1;Diamond Tower;Renda;843586854.26;Capital
09.552.812/0001-14;2020-12-01;1;CRI 20A0977906;Lucro na Venda;15069463.17;Capital
09.552.812/0001-14;2020-12-01;1;CRI 20A0978038;Lucro na Venda;15069463.17;Capital
09.552.812/0001-14;2020-12-01;1;CRI 20J0647410;Lucro na Venda;33674000;Capital
09.552.812/0001-14;2020-12-01;1;CRI 20J0837296;Lucro na Venda;49303702.83;Capital
09.552.812/0001-14;2020-12-01;1;CRI 20J0846991;Lucro na Venda;22690958.05;Capital
09.552.812/0001-14;2020-12-01;1;CRI 20L0687133;Lucro na Venda;10000000;Capital
09.552.812/0001-14;2020-12-01;1;FII Multi Shoppings;Lucro na Venda;6446630.43;Capital
10.456.799/0001-89;2020-12-01;2;1. Aquisição do imóvel situado em Porto Alegre - RS, na Rua Mirim, 44 (ex-218) - Bairro Vila Ipiranga, objeto da matricula nº 9.843 do Livro 2-RG, do Registro de Imóveis da 4ª Zona, nos termos e condições constantes do Contrato Particular de Promessa de Compra e Venda de 20.11.2020;Aquisição para renda;700000;Recursos próprios
10.456.799/0001-89;2020-12-01;2;2. Aquisição do imóvel situado em Porto Alegre - RS, na Rua Mirim, 196, objeto da matricula nº 193.362 do Livro 2-RG, do Registro de Imóveis da 4ª Zona, nos termos e condições constantes da Escritura Pública de Compra e Venda, de 20.08.2020;Aquisição para renda;1825000;Recursos próprios
10.456.799/0001-89;2020-12-01;2;3. Aquisição do imóvel situado em Porto Alegre - RS, na Rua Mirim, 212 - Bairro Vila Ipiranga, objeto da matricula nº 92.554 do Livro 2-RG, do Registro de Imóveis da 4ª Zona, nos termos e condições constantes da Escritura Pública de Compra e Venda, de 20.11.2020.;Aquisição para renda;800000;Recursos próprios
11.026.627/0001-38;2020-12-01;1;COTA DE FII - BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII;Lucro na Venda;100;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB;Lucro na Venda;13894900;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - BTG Pactual Crédito Imobiliário FII;Lucro na Venda;3311331.22;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - BTG PACTUAL LOGÍSTICA;Lucro na Venda;3756.01;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - BTG Pactual Malls;Lucro na Venda;30644552.55;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - BTGP RE PRIME FII;Lucro na Venda;135050100;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - CAPITANIA SECURITIES II FDO INV IMOB - FII;Lucro na Venda;40940941.43;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - CSHG BRASIL SHOPPING - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;29628950.36;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - CSHG LOGÍSTICA FDO INV IMOB - FII;Lucro na Venda;8999962.62;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - CSHG RECEBÍVEIS IMOBILIÁRIOS FII;Lucro na Venda;1151295.88;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - CSHG RENDA URBANA-FII;Lucro na Venda;17141101.89;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - FATOR VERITA FDO INV IMOB - FII;Lucro na Venda;10079274.92;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;Lucro na Venda;53689310.65;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS;Lucro na Venda;50816.29;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;Lucro na Venda;27068067.04;Capital
11.026.627/0001-38;2020-12-01;1;COTA DE FII - FDO INV. IMOB. PLURAL RECEBIVEIS;Lucro na Venda;53696.59;Capital
